06/05/2015 11:29 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 06/05/2015 11:29
06/05/2015 11:32 - DORACI | ID_USUARIO = 10886 | DATA_LOGIN = 06/05/2015 11:32
06/05/2015 11:39 - ROBERTO | ID_USUARIO = 10845 | DATA_LOGIN = 06/05/2015 11:39
06/05/2015 11:45 - ROBERTA | ID_USUARIO = 10935 | DATA_LOGIN = 06/05/2015 11:45
06/05/2015 11:49 - TOM | ID_USUARIO = 10831 | DATA_LOGIN = 06/05/2015 11:49
06/05/2015 11:51 - ERIC | ID_USUARIO = 11080 | DATA_LOGIN = 06/05/2015 11:51
06/05/2015 12:43 - TIAGOLIMA | ID_USUARIO = 11092 | DATA_LOGIN = 06/05/2015 12:43
06/05/2015 12:49 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 06/05/2015 12:49
06/05/2015 12:57 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 06/05/2015 12:57
06/05/2015 13:00 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 06/05/2015 13:00
06/05/2015 13:12 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 06/05/2015 13:12
06/05/2015 13:29 - GRAZIELA | ID_USUARIO = 10984 | DATA_LOGIN = 06/05/2015 13:29
06/05/2015 13:37 - ACIR | ID_USUARIO = 10839 | DATA_LOGIN = 06/05/2015 13:37
06/05/2015 13:37 - MARCIO | ID_USUARIO = 10850 | DATA_LOGIN = 06/05/2015 13:37
06/05/2015 14:00 - JACKSON | ID_USUARIO = 10863 | DATA_LOGIN = 06/05/2015 14:00
06/05/2015 14:00 - JACKSON | ID_USUARIO = 10863 | DATA_LOGIN = 06/05/2015 14:00
06/05/2015 14:03 - SERGIO_SOUZA | ID_USUARIO = 11007 | DATA_LOGIN = 06/05/2015 14:03
06/05/2015 14:08 - SERGIO_SOUZA | ID_USUARIO = 11007 | DATA_LOGIN = 06/05/2015 14:08
06/05/2015 14:15 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 06/05/2015 14:15
06/05/2015 14:20 - TIAGOLIMA | ID_USUARIO = 11092 | DATA_LOGIN = 06/05/2015 14:20
06/05/2015 14:27 - ELISSANDRA | ID_USUARIO = 10851 | DATA_LOGIN = 06/05/2015 14:27
06/05/2015 14:35 - JT | ID_USUARIO = 10823 | DATA_LOGIN = 06/05/2015 14:35
06/05/2015 14:50 - RONALDSIQUEIRA | ID_USUARIO = 11221 | DATA_LOGIN = 06/05/2015 14:50
06/05/2015 14:55 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 06/05/2015 14:55
06/05/2015 15:21 - RONALDSIQUEIRA | ID_USUARIO = 11221 | DATA_LOGIN = 06/05/2015 15:21
06/05/2015 15:37 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 06/05/2015 15:37
06/05/2015 15:43 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 06/05/2015 15:43
06/05/2015 15:50 - SERGIO_SOUZA | ID_USUARIO = 11007 | DATA_LOGIN = 06/05/2015 15:50
06/05/2015 15:51 - RONALDSIQUEIRA | ID_USUARIO = 11221 | DATA_LOGIN = 06/05/2015 15:51
06/05/2015 15:54 - LUIDE | ID_USUARIO = 10836 | DATA_LOGIN = 06/05/2015 15:54
06/05/2015 16:01 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 06/05/2015 16:01
06/05/2015 16:01 - RONALDSIQUEIRA | ID_USUARIO = 11221 | DATA_LOGIN = 06/05/2015 16:01
06/05/2015 16:01 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 06/05/2015 16:01
06/05/2015 16:13 - ROBERTA | ID_USUARIO = 10935 | DATA_LOGIN = 06/05/2015 16:13
06/05/2015 16:29 - ELISSANDRA | ID_USUARIO = 10851 | DATA_LOGIN = 06/05/2015 16:29
06/05/2015 16:38 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 06/05/2015 16:38
06/05/2015 16:40 - ELISSANDRA | ID_USUARIO = 10851 | DATA_LOGIN = 06/05/2015 16:40
06/05/2015 16:41 - DORACI | ID_USUARIO = 10886 | DATA_LOGIN = 06/05/2015 16:41
06/05/2015 17:11 - DORACI | ID_USUARIO = 10886 | DATA_LOGIN = 06/05/2015 17:11
06/05/2015 17:12 - DORACI | ID_USUARIO = 10886 | DATA_LOGIN = 06/05/2015 17:12
06/05/2015 17:18 - AREIAS | ID_USUARIO = 10997 | DATA_LOGIN = 06/05/2015 17:18
06/05/2015 17:33 - SYLVIO | ID_USUARIO = 10914 | DATA_LOGIN = 06/05/2015 17:33
06/05/2015 17:41 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 06/05/2015 17:41
07/05/2015 07:05 - ROBERTA | ID_USUARIO = 10935 | DATA_LOGIN = 07/05/2015 7:05
07/05/2015 07:09 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 07/05/2015 7:09
07/05/2015 07:18 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 07/05/2015 7:18
