04/08/2016 11:20 - LUIDE | USUARIO = 10836 | CI = 16937 | STATUS = 7 | DATA = 04/08/2016 11:20 | MOTIVO_CANCELAMENTO = 
04/08/2016 11:31 - DORACI | USUARIO = 10886 | CI = 16938 | STATUS = 3 | DATA = 04/08/2016 11:31 | MOTIVO_CANCELAMENTO = 
04/08/2016 11:53 - DOUGLAS | USUARIO = 11530 | CI = 16926 | STATUS = 3 | DATA = 04/08/2016 11:53 | MOTIVO_CANCELAMENTO = 
04/08/2016 11:53 - DOUGLAS | USUARIO = 11530 | CI = 16927 | STATUS = 3 | DATA = 04/08/2016 11:53 | MOTIVO_CANCELAMENTO = 
04/08/2016 11:54 - DOUGLAS | USUARIO = 11530 | CI = 16936 | STATUS = 3 | DATA = 04/08/2016 11:54 | MOTIVO_CANCELAMENTO = Reembolso a ser realizado a EFM
04/08/2016 11:55 - DOUGLAS | USUARIO = 11530 | CI = 16937 | STATUS = 3 | DATA = 04/08/2016 11:55 | MOTIVO_CANCELAMENTO = 
04/08/2016 12:12 - MARCIO | USUARIO = 10850 | CI = 16939 | STATUS = 3 | DATA = 04/08/2016 12:12 | MOTIVO_CANCELAMENTO = 
04/08/2016 13:42 - MARCOS | USUARIO = 10921 | CI = 16942 | STATUS = 5 | DATA = 04/08/2016 13:42 | MOTIVO_CANCELAMENTO = falto acrescentar um outro valor
04/08/2016 14:42 - JT | USUARIO = 10823 | CI = 16928 | STATUS = 7 | DATA = 04/08/2016 14:42 | MOTIVO_CANCELAMENTO = 
04/08/2016 17:19 - ZEZE | USUARIO = 10931 | CI = 16948 | STATUS = 7 | DATA = 04/08/2016 17:19 | MOTIVO_CANCELAMENTO = 
04/08/2016 17:19 - ZEZE | USUARIO = 10931 | CI = 16948 | STATUS = 3 | DATA = 04/08/2016 17:19 | MOTIVO_CANCELAMENTO = 
04/08/2016 17:19 - ZEZE | USUARIO = 10931 | CI = 16934 | STATUS = 7 | DATA = 04/08/2016 17:19 | MOTIVO_CANCELAMENTO = 
04/08/2016 17:19 - ZEZE | USUARIO = 10931 | CI = 16934 | STATUS = 3 | DATA = 04/08/2016 17:19 | MOTIVO_CANCELAMENTO = 
04/08/2016 17:19 - ZEZE | USUARIO = 10931 | CI = 16935 | STATUS = 7 | DATA = 04/08/2016 17:19 | MOTIVO_CANCELAMENTO = 
04/08/2016 17:20 - ZEZE | USUARIO = 10931 | CI = 16935 | STATUS = 3 | DATA = 04/08/2016 17:19 | MOTIVO_CANCELAMENTO = 
04/08/2016 17:20 - ZEZE | USUARIO = 10931 | CI = 16945 | STATUS = 7 | DATA = 04/08/2016 17:20 | MOTIVO_CANCELAMENTO = 
04/08/2016 17:20 - ZEZE | USUARIO = 10931 | CI = 16946 | STATUS = 7 | DATA = 04/08/2016 17:20 | MOTIVO_CANCELAMENTO = 
04/08/2016 17:20 - ZEZE | USUARIO = 10931 | CI = 16946 | STATUS = 3 | DATA = 04/08/2016 17:20 | MOTIVO_CANCELAMENTO = 
04/08/2016 18:31 - DOUGLAS | USUARIO = 11530 | CI = 16945 | STATUS = 3 | DATA = 04/08/2016 18:31 | MOTIVO_CANCELAMENTO = 
05/08/2016 07:20 - ROBSONMANFRIM | USUARIO = 11234 | CI = 16949 | STATUS = 7 | DATA = 05/08/2016 7:20 | MOTIVO_CANCELAMENTO = 
05/08/2016 07:20 - ROBSONMANFRIM | USUARIO = 11234 | CI = 16949 | STATUS = 3 | DATA = 05/08/2016 7:20 | MOTIVO_CANCELAMENTO = 
05/08/2016 07:25 - ROBSONMANFRIM | USUARIO = 11234 | CI = 16912 | STATUS = 7 | DATA = 05/08/2016 7:25 | MOTIVO_CANCELAMENTO = 
