05/10/2017 15:15 - ROBERTA | USUARIO = 10935 | CI = 22203 | STATUS = 7 | DATA = 05/10/2017 15:15 | MOTIVO_CANCELAMENTO = 
05/10/2017 15:15 - ROBERTA | USUARIO = 10935 | CI = 22203 | STATUS = 3 | DATA = 05/10/2017 15:15 | MOTIVO_CANCELAMENTO = 
05/10/2017 15:20 - ROBERTA | USUARIO = 10935 | CI = 22204 | STATUS = 7 | DATA = 05/10/2017 15:20 | MOTIVO_CANCELAMENTO = 
05/10/2017 15:20 - ROBERTA | USUARIO = 10935 | CI = 22204 | STATUS = 3 | DATA = 05/10/2017 15:20 | MOTIVO_CANCELAMENTO = 
05/10/2017 15:34 - DOUGLAS | USUARIO = 11530 | CI = 22201 | STATUS = 3 | DATA = 05/10/2017 15:34 | MOTIVO_CANCELAMENTO = 
05/10/2017 15:38 - GUSTAVOGIRO | USUARIO = 6963 | CI = 22205 | STATUS = 7 | DATA = 05/10/2017 15:38 | MOTIVO_CANCELAMENTO = 
05/10/2017 15:38 - GUSTAVOGIRO | USUARIO = 6963 | CI = 22205 | STATUS = 3 | DATA = 05/10/2017 15:38 | MOTIVO_CANCELAMENTO = 
05/10/2017 15:44 - ROBERTA | USUARIO = 10935 | CI = 22207 | STATUS = 7 | DATA = 05/10/2017 15:44 | MOTIVO_CANCELAMENTO = 
05/10/2017 15:44 - ROBERTA | USUARIO = 10935 | CI = 22207 | STATUS = 3 | DATA = 05/10/2017 15:44 | MOTIVO_CANCELAMENTO = 
05/10/2017 15:46 - ALINEFERREIRA | USUARIO = 11212 | CI = 22207 | STATUS = 5 | DATA = 05/10/2017 15:46 | MOTIVO_CANCELAMENTO = CI cancelada - Motivo: valor incorreto.
05/10/2017 15:46 - ALINEFERREIRA | USUARIO = 11212 | CI = 22199 | STATUS = 5 | DATA = 05/10/2017 15:46 | MOTIVO_CANCELAMENTO = CI cancelada - Motivo: valor incorreto.
05/10/2017 15:50 - ROBERTA | USUARIO = 10935 | CI = 22208 | STATUS = 7 | DATA = 05/10/2017 15:50 | MOTIVO_CANCELAMENTO = 
05/10/2017 15:50 - ROBERTA | USUARIO = 10935 | CI = 22208 | STATUS = 3 | DATA = 05/10/2017 15:50 | MOTIVO_CANCELAMENTO = 
05/10/2017 16:27 - LUIDE | USUARIO = 10836 | CI = 22183 | STATUS = 7 | DATA = 05/10/2017 16:27 | MOTIVO_CANCELAMENTO = 
05/10/2017 16:27 - LUIDE | USUARIO = 10836 | CI = 22193 | STATUS = 7 | DATA = 05/10/2017 16:27 | MOTIVO_CANCELAMENTO = 
05/10/2017 16:27 - LUIDE | USUARIO = 10836 | CI = 22193 | STATUS = 3 | DATA = 05/10/2017 16:27 | MOTIVO_CANCELAMENTO = 
05/10/2017 16:27 - LUIDE | USUARIO = 10836 | CI = 22194 | STATUS = 7 | DATA = 05/10/2017 16:27 | MOTIVO_CANCELAMENTO = 
05/10/2017 16:27 - LUIDE | USUARIO = 10836 | CI = 22194 | STATUS = 3 | DATA = 05/10/2017 16:27 | MOTIVO_CANCELAMENTO = 
05/10/2017 16:28 - LUIDE | USUARIO = 10836 | CI = 22196 | STATUS = 3 | DATA = 05/10/2017 16:28 | MOTIVO_CANCELAMENTO = 
05/10/2017 16:28 - LUIDE | USUARIO = 10836 | CI = 22209 | STATUS = 7 | DATA = 05/10/2017 16:28 | MOTIVO_CANCELAMENTO = 
05/10/2017 16:28 - LUIDE | USUARIO = 10836 | CI = 22209 | STATUS = 3 | DATA = 05/10/2017 16:28 | MOTIVO_CANCELAMENTO = 
05/10/2017 16:37 - DOUGLAS | USUARIO = 11530 | CI = 22183 | STATUS = 3 | DATA = 05/10/2017 16:37 | MOTIVO_CANCELAMENTO = 
05/10/2017 18:21 - JT | USUARIO = 10823 | CI = 22191 | STATUS = 7 | DATA = 05/10/2017 18:21 | MOTIVO_CANCELAMENTO = 
05/10/2017 18:21 - JT | USUARIO = 10823 | CI = 22191 | STATUS = 3 | DATA = 05/10/2017 18:21 | MOTIVO_CANCELAMENTO = 
06/10/2017 08:14 - OTAVIOGIRO | USUARIO = 526 | CI = 22214 | STATUS = 5 | DATA = 06/10/2017 8:14 | MOTIVO_CANCELAMENTO = FALTOU ANEXO
06/10/2017 08:52 - ZEZE | USUARIO = 10931 | CI = 22212 | STATUS = 7 | DATA = 06/10/2017 8:52 | MOTIVO_CANCELAMENTO = 
06/10/2017 08:52 - ZEZE | USUARIO = 10931 | CI = 22212 | STATUS = 3 | DATA = 06/10/2017 8:52 | MOTIVO_CANCELAMENTO = 
06/10/2017 10:09 - TADEUMACHADO | USUARIO = 11594 | CI = 22219 | STATUS = 7 | DATA = 06/10/2017 10:09 | MOTIVO_CANCELAMENTO = 
06/10/2017 10:09 - TADEUMACHADO | USUARIO = 11594 | CI = 22219 | STATUS = 3 | DATA = 06/10/2017 10:09 | MOTIVO_CANCELAMENTO = 
06/10/2017 10:12 - AREIAS | USUARIO = 10997 | CI = 22211 | STATUS = 7 | DATA = 06/10/2017 10:12 | MOTIVO_CANCELAMENTO = 
06/10/2017 10:12 - AREIAS | USUARIO = 10997 | CI = 22213 | STATUS = 7 | DATA = 06/10/2017 10:12 | MOTIVO_CANCELAMENTO = 
06/10/2017 10:12 - AREIAS | USUARIO = 10997 | CI = 22215 | STATUS = 7 | DATA = 06/10/2017 10:12 | MOTIVO_CANCELAMENTO = 
06/10/2017 10:12 - AREIAS | USUARIO = 10997 | CI = 22216 | STATUS = 7 | DATA = 06/10/2017 10:12 | MOTIVO_CANCELAMENTO = 
06/10/2017 10:29 - MARTA | USUARIO = 10847 | CI = 22220 | STATUS = 3 | DATA = 06/10/2017 10:29 | MOTIVO_CANCELAMENTO = 
06/10/2017 10:29 - MARTA | USUARIO = 10847 | CI = 22221 | STATUS = 3 | DATA = 06/10/2017 10:29 | MOTIVO_CANCELAMENTO = 
