05/05/2016 15:24 - DORACI | USUARIO = 10886 | CI = 15789 | STATUS = 7 | DATA = 05/05/2016 15:24 | MOTIVO_CANCELAMENTO = 
05/05/2016 16:50 - SYLVIO | USUARIO = 10914 | CI = 15789 | STATUS = 3 | DATA = 05/05/2016 16:50 | MOTIVO_CANCELAMENTO = 
05/05/2016 16:50 - CHRISTIANO | USUARIO = 11570 | CI = 15789 | STATUS = 3 | DATA = 05/05/2016 16:50 | MOTIVO_CANCELAMENTO = 
05/05/2016 17:56 - MARCOS | USUARIO = 10921 | CI = 15724 | STATUS = 5 | DATA = 05/05/2016 17:56 | MOTIVO_CANCELAMENTO = Titulo sera pago pelo bradesco
05/05/2016 17:57 - MARCOS | USUARIO = 10921 | CI = 15725 | STATUS = 5 | DATA = 05/05/2016 17:57 | MOTIVO_CANCELAMENTO = Imposto sera pago pelo Bradesco
05/05/2016 18:00 - CAMARA | USUARIO = 10841 | CI = 15786 | STATUS = 3 | DATA = 05/05/2016 18:00 | MOTIVO_CANCELAMENTO = 
05/05/2016 18:01 - CAMARA | USUARIO = 10841 | CI = 15792 | STATUS = 3 | DATA = 05/05/2016 18:01 | MOTIVO_CANCELAMENTO = 
05/05/2016 18:01 - CAMARA | USUARIO = 10841 | CI = 15791 | STATUS = 3 | DATA = 05/05/2016 18:01 | MOTIVO_CANCELAMENTO = 
06/05/2016 07:56 - DORACI | USUARIO = 10886 | CI = 15793 | STATUS = 7 | DATA = 06/05/2016 7:56 | MOTIVO_CANCELAMENTO = 
06/05/2016 08:31 - MARCELOGODOI | USUARIO = 11316 | CI = 15794 | STATUS = 7 | DATA = 06/05/2016 8:31 | MOTIVO_CANCELAMENTO = 
06/05/2016 09:03 - MARCELOGODOI | USUARIO = 11316 | CI = 15796 | STATUS = 7 | DATA = 06/05/2016 9:03 | MOTIVO_CANCELAMENTO = 
06/05/2016 09:08 - CHRISTIANO | USUARIO = 11570 | CI = 15793 | STATUS = 3 | DATA = 06/05/2016 9:08 | MOTIVO_CANCELAMENTO = 
06/05/2016 09:09 - CHRISTIANO | USUARIO = 11570 | CI = 15794 | STATUS = 3 | DATA = 06/05/2016 9:09 | MOTIVO_CANCELAMENTO = 
06/05/2016 09:09 - CHRISTIANO | USUARIO = 11570 | CI = 15796 | STATUS = 3 | DATA = 06/05/2016 9:09 | MOTIVO_CANCELAMENTO = 
06/05/2016 09:21 - LUIDE | USUARIO = 10836 | CI = 15788 | STATUS = 3 | DATA = 06/05/2016 9:21 | MOTIVO_CANCELAMENTO = 
06/05/2016 09:21 - LUIDE | USUARIO = 10836 | CI = 15797 | STATUS = 7 | DATA = 06/05/2016 9:21 | MOTIVO_CANCELAMENTO = 
06/05/2016 09:21 - LUIDE | USUARIO = 10836 | CI = 15798 | STATUS = 7 | DATA = 06/05/2016 9:21 | MOTIVO_CANCELAMENTO = 
06/05/2016 10:32 - DOUGLAS | USUARIO = 11530 | CI = 15793 | STATUS = 3 | DATA = 06/05/2016 10:32 | MOTIVO_CANCELAMENTO = 
06/05/2016 10:41 - AREIAS | USUARIO = 10997 | CI = 15752 | STATUS = 7 | DATA = 06/05/2016 10:41 | MOTIVO_CANCELAMENTO = 
06/05/2016 10:41 - AREIAS | USUARIO = 10997 | CI = 15752 | STATUS = 3 | DATA = 06/05/2016 10:41 | MOTIVO_CANCELAMENTO = 
06/05/2016 10:41 - AREIAS | USUARIO = 10997 | CI = 15790 | STATUS = 7 | DATA = 06/05/2016 10:41 | MOTIVO_CANCELAMENTO = 
06/05/2016 11:58 - CHRISTIANO | USUARIO = 11570 | CI = 15797 | STATUS = 3 | DATA = 06/05/2016 11:58 | MOTIVO_CANCELAMENTO = 
06/05/2016 11:58 - CHRISTIANO | USUARIO = 11570 | CI = 15798 | STATUS = 3 | DATA = 06/05/2016 11:58 | MOTIVO_CANCELAMENTO = 
06/05/2016 15:54 - MARTA | USUARIO = 10847 | CI = 15801 | STATUS = 3 | DATA = 06/05/2016 15:54 | MOTIVO_CANCELAMENTO = aprovado.
06/05/2016 16:52 - ROBSONMANFRIM | USUARIO = 11234 | CI = 15771 | STATUS = 7 | DATA = 06/05/2016 16:52 | MOTIVO_CANCELAMENTO = 
06/05/2016 16:52 - ROBSONMANFRIM | USUARIO = 11234 | CI = 15771 | STATUS = 3 | DATA = 06/05/2016 16:52 | MOTIVO_CANCELAMENTO = 
06/05/2016 17:55 - ACIR | USUARIO = 10839 | CI = 15803 | STATUS = 3 | DATA = 06/05/2016 17:55 | MOTIVO_CANCELAMENTO = 
06/05/2016 17:55 - ACIR | USUARIO = 10839 | CI = 15799 | STATUS = 3 | DATA = 06/05/2016 17:55 | MOTIVO_CANCELAMENTO = 
07/05/2016 09:36 - JENS | USUARIO = 10895 | CI = 15800 | STATUS = 3 | DATA = 07/05/2016 9:36 | MOTIVO_CANCELAMENTO = 
07/05/2016 09:46 - ACIR | USUARIO = 10839 | CI = 15804 | STATUS = 3 | DATA = 07/05/2016 9:46 | MOTIVO_CANCELAMENTO = 
09/05/2016 09:17 - MARTA | USUARIO = 10847 | CI = 15810 | STATUS = 3 | DATA = 09/05/2016 9:17 | MOTIVO_CANCELAMENTO = aprovado.
09/05/2016 09:45 - ZEZE | USUARIO = 10931 | CI = 15809 | STATUS = 7 | DATA = 09/05/2016 9:45 | MOTIVO_CANCELAMENTO = 
09/05/2016 09:45 - ZEZE | USUARIO = 10931 | CI = 15809 | STATUS = 3 | DATA = 09/05/2016 9:45 | MOTIVO_CANCELAMENTO = 
09/05/2016 09:58 - AREIAS | USUARIO = 10997 | CI = 15807 | STATUS = 7 | DATA = 09/05/2016 9:58 | MOTIVO_CANCELAMENTO = 
09/05/2016 09:58 - AREIAS | USUARIO = 10997 | CI = 15807 | STATUS = 3 | DATA = 09/05/2016 9:58 | MOTIVO_CANCELAMENTO = 
09/05/2016 09:58 - ZEZE | USUARIO = 10931 | CI = 15811 | STATUS = 7 | DATA = 09/05/2016 9:58 | MOTIVO_CANCELAMENTO = 
09/05/2016 09:58 - ZEZE | USUARIO = 10931 | CI = 15811 | STATUS = 3 | DATA = 09/05/2016 9:58 | MOTIVO_CANCELAMENTO = 
