05/10/2015 11:28 - SUZANA | ID_USUARIO = 11114 | DATA_LOGIN = 05/10/2015 11:28
05/10/2015 11:31 - RODRIGO_POIT | ID_USUARIO = 11086 | DATA_LOGIN = 05/10/2015 11:31
05/10/2015 11:33 - AZEVEDO | ID_USUARIO = 10858 | DATA_LOGIN = 05/10/2015 11:33
05/10/2015 11:37 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 05/10/2015 11:37
05/10/2015 11:41 - DOUGLAS | ID_USUARIO = 11530 | DATA_LOGIN = 05/10/2015 11:41
05/10/2015 12:06 - RONALDSIQUEIRA | ID_USUARIO = 11221 | DATA_LOGIN = 05/10/2015 12:06
05/10/2015 12:31 - NORIVAL | ID_USUARIO = 10955 | DATA_LOGIN = 05/10/2015 12:31
05/10/2015 13:00 - RODRIGO_POIT | ID_USUARIO = 11086 | DATA_LOGIN = 05/10/2015 13:00
05/10/2015 13:12 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 05/10/2015 13:12
05/10/2015 13:25 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 05/10/2015 13:25
05/10/2015 13:34 - MARCELOGODOI | ID_USUARIO = 11316 | DATA_LOGIN = 05/10/2015 13:34
05/10/2015 13:37 - ROSE | ID_USUARIO = 10872 | DATA_LOGIN = 05/10/2015 13:37
05/10/2015 13:37 - ROSE | ID_USUARIO = 10872 | DATA_LOGIN = 05/10/2015 13:37
05/10/2015 13:38 - MICHELSANTOS | ID_USUARIO = 11324 | DATA_LOGIN = 05/10/2015 13:38
05/10/2015 13:46 - RODRIGO_POIT | ID_USUARIO = 11086 | DATA_LOGIN = 05/10/2015 13:46
05/10/2015 13:51 - JG | ID_USUARIO = 10849 | DATA_LOGIN = 05/10/2015 13:51
05/10/2015 13:55 - GMONTREZOR | ID_USUARIO = 11164 | DATA_LOGIN = 05/10/2015 13:55
05/10/2015 13:56 - ADRIANA | ID_USUARIO = 10859 | DATA_LOGIN = 05/10/2015 13:56
05/10/2015 14:00 - VALDINEI | ID_USUARIO = 11172 | DATA_LOGIN = 05/10/2015 14:00
05/10/2015 14:14 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 05/10/2015 14:14
05/10/2015 14:15 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 05/10/2015 14:15
05/10/2015 14:20 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 05/10/2015 14:20
05/10/2015 14:20 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 05/10/2015 14:20
05/10/2015 14:28 - CRISTIANOALVES | ID_USUARIO = 11226 | DATA_LOGIN = 05/10/2015 14:28
05/10/2015 14:29 - JENS | ID_USUARIO = 10895 | DATA_LOGIN = 05/10/2015 14:29
05/10/2015 14:49 - MICHELSANTOS | ID_USUARIO = 11324 | DATA_LOGIN = 05/10/2015 14:49
05/10/2015 14:51 - TIAGOLIMA | ID_USUARIO = 11092 | DATA_LOGIN = 05/10/2015 14:51
05/10/2015 15:05 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 05/10/2015 15:05
05/10/2015 15:06 - DORACI | ID_USUARIO = 10886 | DATA_LOGIN = 05/10/2015 15:06
05/10/2015 15:09 - RONALDSIQUEIRA | ID_USUARIO = 11221 | DATA_LOGIN = 05/10/2015 15:09
05/10/2015 15:20 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 05/10/2015 15:20
05/10/2015 15:29 - ROBSONMANFRIM | ID_USUARIO = 11234 | DATA_LOGIN = 05/10/2015 15:29
05/10/2015 15:35 - TOM | ID_USUARIO = 10831 | DATA_LOGIN = 05/10/2015 15:35
05/10/2015 15:43 - HEITOR | ID_USUARIO = 10996 | DATA_LOGIN = 05/10/2015 15:43
05/10/2015 15:54 - FERNANDOPIRES | ID_USUARIO = 11220 | DATA_LOGIN = 05/10/2015 15:54
05/10/2015 16:06 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 05/10/2015 16:06
05/10/2015 16:06 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 05/10/2015 16:06
05/10/2015 16:06 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 05/10/2015 16:06
05/10/2015 16:06 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 05/10/2015 16:06
05/10/2015 16:16 - RODRIGO_POIT | ID_USUARIO = 11086 | DATA_LOGIN = 05/10/2015 16:16
05/10/2015 16:16 - ROSELISANTOS | ID_USUARIO = 11144 | DATA_LOGIN = 05/10/2015 16:16
05/10/2015 16:22 - ROSEMEIRESGOTI | ID_USUARIO = 11307 | DATA_LOGIN = 05/10/2015 16:22
05/10/2015 16:22 - ACIR | ID_USUARIO = 10839 | DATA_LOGIN = 05/10/2015 16:22
05/10/2015 16:23 - ALINEFERREIRA | ID_USUARIO = 11212 | DATA_LOGIN = 05/10/2015 16:23
05/10/2015 16:36 - RODRIGO_POIT | ID_USUARIO = 11086 | DATA_LOGIN = 05/10/2015 16:36
05/10/2015 16:37 - DORACI | ID_USUARIO = 10886 | DATA_LOGIN = 05/10/2015 16:37
05/10/2015 16:39 - ALINEFERREIRA | ID_USUARIO = 11212 | DATA_LOGIN = 05/10/2015 16:39
05/10/2015 16:40 - LETICIA | ID_USUARIO = 11055 | DATA_LOGIN = 05/10/2015 16:40
05/10/2015 16:57 - ROBSONMANFRIM | ID_USUARIO = 11234 | DATA_LOGIN = 05/10/2015 16:57
05/10/2015 17:02 - FERNANDOPIRES | ID_USUARIO = 11220 | DATA_LOGIN = 05/10/2015 17:02
05/10/2015 17:05 - JENS | ID_USUARIO = 10895 | DATA_LOGIN = 05/10/2015 17:05
05/10/2015 20:38 - TOM | ID_USUARIO = 10831 | DATA_LOGIN = 05/10/2015 20:38
05/10/2015 21:19 - DOUGLAS | ID_USUARIO = 11530 | DATA_LOGIN = 05/10/2015 21:19
