17/07/2018 11:55 - DOUGLAS | USUARIO = 11530 | CI = 24895 | STATUS = 3 | DATA = 17/07/2018 11:55 | MOTIVO_CANCELAMENTO = 
17/07/2018 11:56 - DOUGLAS | USUARIO = 11530 | CI = 24896 | STATUS = 3 | DATA = 17/07/2018 11:56 | MOTIVO_CANCELAMENTO = 
17/07/2018 11:56 - DOUGLAS | USUARIO = 11530 | CI = 24897 | STATUS = 3 | DATA = 17/07/2018 11:56 | MOTIVO_CANCELAMENTO = 
17/07/2018 11:56 - MARCIO | USUARIO = 10850 | CI = 24905 | STATUS = 3 | DATA = 17/07/2018 11:56 | MOTIVO_CANCELAMENTO = 
17/07/2018 15:46 - MARCIO | USUARIO = 10850 | CI = 24906 | STATUS = 3 | DATA = 17/07/2018 15:46 | MOTIVO_CANCELAMENTO = 
17/07/2018 18:26 - JT | USUARIO = 10823 | CI = 24907 | STATUS = 3 | DATA = 17/07/2018 18:26 | MOTIVO_CANCELAMENTO = 
18/07/2018 09:58 - OSNY | USUARIO = 10826 | CI = 24909 | STATUS = 7 | DATA = 18/07/2018 9:58 | MOTIVO_CANCELAMENTO = 
18/07/2018 09:58 - OSNY | USUARIO = 10826 | CI = 24909 | STATUS = 3 | DATA = 18/07/2018 9:58 | MOTIVO_CANCELAMENTO = 
18/07/2018 10:03 - ZEZE | USUARIO = 10931 | CI = 24902 | STATUS = 3 | DATA = 18/07/2018 10:03 | MOTIVO_CANCELAMENTO = 
18/07/2018 10:04 - ZEZE | USUARIO = 10931 | CI = 24903 | STATUS = 7 | DATA = 18/07/2018 10:04 | MOTIVO_CANCELAMENTO = 
18/07/2018 10:04 - ZEZE | USUARIO = 10931 | CI = 24903 | STATUS = 3 | DATA = 18/07/2018 10:04 | MOTIVO_CANCELAMENTO = 
18/07/2018 10:04 - ZEZE | USUARIO = 10931 | CI = 24911 | STATUS = 7 | DATA = 18/07/2018 10:04 | MOTIVO_CANCELAMENTO = 
18/07/2018 10:04 - ZEZE | USUARIO = 10931 | CI = 24911 | STATUS = 3 | DATA = 18/07/2018 10:04 | MOTIVO_CANCELAMENTO = 
18/07/2018 11:25 - MARCIO | USUARIO = 10850 | CI = 24908 | STATUS = 3 | DATA = 18/07/2018 11:25 | MOTIVO_CANCELAMENTO = 
