05/09/2017 10:26 - MARCELOGODOI | USUARIO = 11316 | CI = 21864 | STATUS = 7 | DATA = 05/09/2017 10:26 | MOTIVO_CANCELAMENTO = 
05/09/2017 10:26 - MARCELOGODOI | USUARIO = 11316 | CI = 21867 | STATUS = 7 | DATA = 05/09/2017 10:26 | MOTIVO_CANCELAMENTO = 
05/09/2017 10:42 - AREIAS | USUARIO = 10997 | CI = 21851 | STATUS = 7 | DATA = 05/09/2017 10:42 | MOTIVO_CANCELAMENTO = 
05/09/2017 10:42 - AREIAS | USUARIO = 10997 | CI = 21853 | STATUS = 7 | DATA = 05/09/2017 10:42 | MOTIVO_CANCELAMENTO = 
05/09/2017 10:43 - AREIAS | USUARIO = 10997 | CI = 21854 | STATUS = 7 | DATA = 05/09/2017 10:43 | MOTIVO_CANCELAMENTO = 
05/09/2017 10:44 - AREIAS | USUARIO = 10997 | CI = 21855 | STATUS = 7 | DATA = 05/09/2017 10:44 | MOTIVO_CANCELAMENTO = 
05/09/2017 10:44 - AREIAS | USUARIO = 10997 | CI = 21858 | STATUS = 7 | DATA = 05/09/2017 10:44 | MOTIVO_CANCELAMENTO = 
05/09/2017 11:12 - AREIAS | USUARIO = 10997 | CI = 21879 | STATUS = 7 | DATA = 05/09/2017 11:12 | MOTIVO_CANCELAMENTO = 
05/09/2017 11:42 - DOUGLAS | USUARIO = 11530 | CI = 21851 | STATUS = 3 | DATA = 05/09/2017 11:42 | MOTIVO_CANCELAMENTO = 
05/09/2017 11:42 - DOUGLAS | USUARIO = 11530 | CI = 21853 | STATUS = 3 | DATA = 05/09/2017 11:42 | MOTIVO_CANCELAMENTO = 
05/09/2017 11:42 - DOUGLAS | USUARIO = 11530 | CI = 21854 | STATUS = 3 | DATA = 05/09/2017 11:42 | MOTIVO_CANCELAMENTO = 
05/09/2017 12:04 - LUIDE | USUARIO = 10836 | CI = 21874 | STATUS = 3 | DATA = 05/09/2017 12:04 | MOTIVO_CANCELAMENTO = 
05/09/2017 12:04 - LUIDE | USUARIO = 10836 | CI = 21881 | STATUS = 3 | DATA = 05/09/2017 12:04 | MOTIVO_CANCELAMENTO = 
05/09/2017 13:17 - ROBERTO | USUARIO = 10845 | CI = 21877 | STATUS = 3 | DATA = 05/09/2017 13:17 | MOTIVO_CANCELAMENTO = 
05/09/2017 14:06 - FERNANDO | USUARIO = 10842 | CI = 21876 | STATUS = 3 | DATA = 05/09/2017 14:06 | MOTIVO_CANCELAMENTO = 
05/09/2017 14:56 - ZEZE | USUARIO = 10931 | CI = 21872 | STATUS = 7 | DATA = 05/09/2017 14:56 | MOTIVO_CANCELAMENTO = 
05/09/2017 14:56 - ZEZE | USUARIO = 10931 | CI = 21872 | STATUS = 3 | DATA = 05/09/2017 14:56 | MOTIVO_CANCELAMENTO = 
05/09/2017 14:56 - ZEZE | USUARIO = 10931 | CI = 21878 | STATUS = 3 | DATA = 05/09/2017 14:56 | MOTIVO_CANCELAMENTO = 
05/09/2017 14:57 - ZEZE | USUARIO = 10931 | CI = 21880 | STATUS = 3 | DATA = 05/09/2017 14:57 | MOTIVO_CANCELAMENTO = 
05/09/2017 15:23 - AMADEUBOVI | USUARIO = 6888 | CI = 21888 | STATUS = 3 | DATA = 05/09/2017 15:23 | MOTIVO_CANCELAMENTO = 
05/09/2017 15:42 - ZEZE | USUARIO = 10931 | CI = 21889 | STATUS = 7 | DATA = 05/09/2017 15:42 | MOTIVO_CANCELAMENTO = 
05/09/2017 15:43 - ZEZE | USUARIO = 10931 | CI = 21890 | STATUS = 7 | DATA = 05/09/2017 15:43 | MOTIVO_CANCELAMENTO = 
