03/03/2016 11:22 - TOM | ID_USUARIO = 10831 | DATA_LOGIN = 03/03/2016 11:22
03/03/2016 11:29 - LUZMARINA | ID_USUARIO = 10900 | DATA_LOGIN = 03/03/2016 11:29
03/03/2016 12:50 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 03/03/2016 12:50
03/03/2016 12:55 - VALDEREZ | ID_USUARIO = 10871 | DATA_LOGIN = 03/03/2016 12:55
03/03/2016 12:59 - MARCOS | ID_USUARIO = 10921 | DATA_LOGIN = 03/03/2016 12:59
03/03/2016 13:11 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 03/03/2016 13:11
03/03/2016 13:16 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 03/03/2016 13:16
03/03/2016 13:16 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 03/03/2016 13:16
03/03/2016 13:19 - VALDEREZ | ID_USUARIO = 10871 | DATA_LOGIN = 03/03/2016 13:19
03/03/2016 13:31 - RONALDSIQUEIRA | ID_USUARIO = 11221 | DATA_LOGIN = 03/03/2016 13:31
03/03/2016 13:33 - OSNY | ID_USUARIO = 10826 | DATA_LOGIN = 03/03/2016 13:33
03/03/2016 13:33 - GRAZIELA | ID_USUARIO = 10984 | DATA_LOGIN = 03/03/2016 13:33
03/03/2016 13:41 - CARACIOLO | ID_USUARIO = 10840 | DATA_LOGIN = 03/03/2016 13:41
03/03/2016 13:53 - TOM | ID_USUARIO = 10831 | DATA_LOGIN = 03/03/2016 13:53
03/03/2016 13:54 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 03/03/2016 13:54
03/03/2016 13:56 - BIRA | ID_USUARIO = 11029 | DATA_LOGIN = 03/03/2016 13:56
03/03/2016 13:57 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 03/03/2016 13:57
03/03/2016 14:03 - GRAZIELA | ID_USUARIO = 10984 | DATA_LOGIN = 03/03/2016 14:03
03/03/2016 14:17 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 03/03/2016 14:17
03/03/2016 14:18 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 03/03/2016 14:18
03/03/2016 14:25 - ALEXANDRE | ID_USUARIO = 10837 | DATA_LOGIN = 03/03/2016 14:25
