06/10/2015 11:56 - TOM | USUARIO = 10831 | CI = 13455 | STATUS = 3 | DATA = 06/10/2015 11:56 | MOTIVO_CANCELAMENTO = 
06/10/2015 11:56 - TOM | USUARIO = 10831 | CI = 13459 | STATUS = 3 | DATA = 06/10/2015 11:56 | MOTIVO_CANCELAMENTO = 
06/10/2015 12:23 - DOUGLAS | USUARIO = 11530 | CI = 13411 | STATUS = 3 | DATA = 06/10/2015 12:23 | MOTIVO_CANCELAMENTO = 
06/10/2015 12:24 - DOUGLAS | USUARIO = 11530 | CI = 13412 | STATUS = 3 | DATA = 06/10/2015 12:24 | MOTIVO_CANCELAMENTO = 
06/10/2015 12:24 - DOUGLAS | USUARIO = 11530 | CI = 13460 | STATUS = 3 | DATA = 06/10/2015 12:24 | MOTIVO_CANCELAMENTO = 
06/10/2015 15:25 - DOUGLAS | USUARIO = 11530 | CI = 13467 | STATUS = 3 | DATA = 06/10/2015 15:25 | MOTIVO_CANCELAMENTO = 
07/10/2015 06:51 - ROBSONMANFRIM | USUARIO = 11234 | CI = 13464 | STATUS = 7 | DATA = 07/10/2015 6:51 | MOTIVO_CANCELAMENTO = 
07/10/2015 06:51 - ROBSONMANFRIM | USUARIO = 11234 | CI = 13464 | STATUS = 3 | DATA = 07/10/2015 6:51 | MOTIVO_CANCELAMENTO = 
07/10/2015 06:52 - ROBSONMANFRIM | USUARIO = 11234 | CI = 13425 | STATUS = 7 | DATA = 07/10/2015 6:52 | MOTIVO_CANCELAMENTO = “Imposto será compensado via PER / DCOMP, entrar em contato com o Dep. Tributário”
07/10/2015 06:52 - ROBSONMANFRIM | USUARIO = 11234 | CI = 13425 | STATUS = 3 | DATA = 07/10/2015 6:52 | MOTIVO_CANCELAMENTO = “Imposto será compensado via PER / DCOMP, entrar em contato com o Dep. Tributário”
07/10/2015 07:48 - PARDAL | USUARIO = 10903 | CI = 13453 | STATUS = 3 | DATA = 07/10/2015 7:48 | MOTIVO_CANCELAMENTO = O Contrato esta sendo elaborado.
07/10/2015 08:17 - ROBSONMANFRIM | USUARIO = 11234 | CI = 13469 | STATUS = 7 | DATA = 07/10/2015 8:17 | MOTIVO_CANCELAMENTO = 
07/10/2015 08:17 - ROBSONMANFRIM | USUARIO = 11234 | CI = 13469 | STATUS = 3 | DATA = 07/10/2015 8:17 | MOTIVO_CANCELAMENTO = 
07/10/2015 08:33 - TOM | USUARIO = 10831 | CI = 13449 | STATUS = 3 | DATA = 07/10/2015 8:33 | MOTIVO_CANCELAMENTO = 
07/10/2015 08:48 - CARACIOLO | USUARIO = 10840 | CI = 13468 | STATUS = 3 | DATA = 07/10/2015 8:48 | MOTIVO_CANCELAMENTO = 
07/10/2015 09:14 - LUIDE | USUARIO = 10836 | CI = 13409 | STATUS = 3 | DATA = 07/10/2015 9:14 | MOTIVO_CANCELAMENTO = 
07/10/2015 09:15 - LUIDE | USUARIO = 10836 | CI = 13410 | STATUS = 3 | DATA = 07/10/2015 9:15 | MOTIVO_CANCELAMENTO = 
07/10/2015 09:15 - LUIDE | USUARIO = 10836 | CI = 13421 | STATUS = 7 | DATA = 07/10/2015 9:15 | MOTIVO_CANCELAMENTO = 
07/10/2015 09:15 - LUIDE | USUARIO = 10836 | CI = 13421 | STATUS = 3 | DATA = 07/10/2015 9:15 | MOTIVO_CANCELAMENTO = 
07/10/2015 09:16 - LUIDE | USUARIO = 10836 | CI = 13438 | STATUS = 3 | DATA = 07/10/2015 9:16 | MOTIVO_CANCELAMENTO = 
07/10/2015 09:23 - JT | USUARIO = 10823 | CI = 13471 | STATUS = 7 | DATA = 07/10/2015 9:23 | MOTIVO_CANCELAMENTO = 
07/10/2015 09:44 - HEITOR | USUARIO = 10996 | CI = 13475 | STATUS = 3 | DATA = 07/10/2015 9:44 | MOTIVO_CANCELAMENTO = 
07/10/2015 09:44 - HEITOR | USUARIO = 10996 | CI = 13476 | STATUS = 3 | DATA = 07/10/2015 9:44 | MOTIVO_CANCELAMENTO = 
07/10/2015 10:53 - DORACI | USUARIO = 10886 | CI = 13481 | STATUS = 7 | DATA = 07/10/2015 10:53 | MOTIVO_CANCELAMENTO = 
07/10/2015 10:53 - DORACI | USUARIO = 10886 | CI = 13481 | STATUS = 3 | DATA = 07/10/2015 10:53 | MOTIVO_CANCELAMENTO = 
07/10/2015 10:53 - DORACI | USUARIO = 10886 | CI = 13482 | STATUS = 7 | DATA = 07/10/2015 10:53 | MOTIVO_CANCELAMENTO = 
07/10/2015 10:53 - DORACI | USUARIO = 10886 | CI = 13482 | STATUS = 3 | DATA = 07/10/2015 10:53 | MOTIVO_CANCELAMENTO = 
07/10/2015 11:31 - AREIAS | USUARIO = 10997 | CI = 13463 | STATUS = 7 | DATA = 07/10/2015 11:31 | MOTIVO_CANCELAMENTO = 
07/10/2015 11:31 - AREIAS | USUARIO = 10997 | CI = 13465 | STATUS = 7 | DATA = 07/10/2015 11:31 | MOTIVO_CANCELAMENTO = 
07/10/2015 11:31 - AREIAS | USUARIO = 10997 | CI = 13465 | STATUS = 3 | DATA = 07/10/2015 11:31 | MOTIVO_CANCELAMENTO = 
07/10/2015 11:31 - AREIAS | USUARIO = 10997 | CI = 13466 | STATUS = 7 | DATA = 07/10/2015 11:31 | MOTIVO_CANCELAMENTO = 
07/10/2015 11:31 - AREIAS | USUARIO = 10997 | CI = 13472 | STATUS = 7 | DATA = 07/10/2015 11:31 | MOTIVO_CANCELAMENTO = 
07/10/2015 11:32 - AREIAS | USUARIO = 10997 | CI = 13473 | STATUS = 7 | DATA = 07/10/2015 11:32 | MOTIVO_CANCELAMENTO = 
07/10/2015 13:08 - ZEZE | USUARIO = 10931 | CI = 13473 | STATUS = 3 | DATA = 07/10/2015 13:08 | MOTIVO_CANCELAMENTO = 
07/10/2015 13:55 - DOUGLAS | USUARIO = 11530 | CI = 13472 | STATUS = 3 | DATA = 07/10/2015 13:55 | MOTIVO_CANCELAMENTO = 
07/10/2015 15:52 - JT | USUARIO = 10823 | CI = 13463 | STATUS = 3 | DATA = 07/10/2015 15:52 | MOTIVO_CANCELAMENTO = 
07/10/2015 15:53 - JT | USUARIO = 10823 | CI = 13483 | STATUS = 7 | DATA = 07/10/2015 15:53 | MOTIVO_CANCELAMENTO = 
07/10/2015 15:53 - JT | USUARIO = 10823 | CI = 13483 | STATUS = 3 | DATA = 07/10/2015 15:53 | MOTIVO_CANCELAMENTO = 
07/10/2015 15:53 - JT | USUARIO = 10823 | CI = 13490 | STATUS = 3 | DATA = 07/10/2015 15:53 | MOTIVO_CANCELAMENTO = 
