04/04/2015 10:37 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 04/04/2015 10:37
04/04/2015 12:40 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 04/04/2015 12:40
04/04/2015 14:06 - NORIVAL | ID_USUARIO = 10955 | DATA_LOGIN = 04/04/2015 14:06
04/04/2015 14:12 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 04/04/2015 14:12
04/04/2015 14:26 - JT | ID_USUARIO = 10823 | DATA_LOGIN = 04/04/2015 14:26
04/04/2015 14:46 - PARDAL | ID_USUARIO = 10903 | DATA_LOGIN = 04/04/2015 14:46
04/04/2015 14:57 - NORIVAL | ID_USUARIO = 10955 | DATA_LOGIN = 04/04/2015 14:57
04/04/2015 15:04 - PARDAL | ID_USUARIO = 10903 | DATA_LOGIN = 04/04/2015 15:04
06/04/2015 07:16 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 06/04/2015 7:16
06/04/2015 07:17 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 06/04/2015 7:17
06/04/2015 07:18 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 06/04/2015 7:18
06/04/2015 07:29 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 06/04/2015 7:29
06/04/2015 07:37 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 06/04/2015 7:37
06/04/2015 07:44 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 06/04/2015 7:44
06/04/2015 08:18 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 06/04/2015 8:18
06/04/2015 08:41 - CABRAL | ID_USUARIO = 10975 | DATA_LOGIN = 06/04/2015 8:41
06/04/2015 08:43 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 06/04/2015 8:43
06/04/2015 08:50 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 06/04/2015 8:50
06/04/2015 09:45 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 06/04/2015 9:45
06/04/2015 09:46 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 06/04/2015 9:46
06/04/2015 09:49 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 06/04/2015 9:49
06/04/2015 09:52 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 06/04/2015 9:52
06/04/2015 10:08 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 06/04/2015 10:08
06/04/2015 10:17 - SIDINEI | ID_USUARIO = 10968 | DATA_LOGIN = 06/04/2015 10:17
06/04/2015 10:22 - ROSE | ID_USUARIO = 10872 | DATA_LOGIN = 06/04/2015 10:22
06/04/2015 10:22 - ROSE | ID_USUARIO = 10872 | DATA_LOGIN = 06/04/2015 10:22
06/04/2015 10:27 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 06/04/2015 10:27
06/04/2015 10:28 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 06/04/2015 10:28
06/04/2015 10:30 - SIDINEI | ID_USUARIO = 10968 | DATA_LOGIN = 06/04/2015 10:30
06/04/2015 10:39 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 06/04/2015 10:39
06/04/2015 10:46 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 06/04/2015 10:46
06/04/2015 10:47 - TOM | ID_USUARIO = 10831 | DATA_LOGIN = 06/04/2015 10:47
06/04/2015 10:52 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 06/04/2015 10:52
06/04/2015 11:02 - MARIASOUZA | ID_USUARIO = 11414 | DATA_LOGIN = 06/04/2015 11:02
06/04/2015 11:04 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 06/04/2015 11:04
06/04/2015 11:24 - GMONTREZOR | ID_USUARIO = 11164 | DATA_LOGIN = 06/04/2015 11:24
06/04/2015 11:25 - ADRIANA | ID_USUARIO = 10859 | DATA_LOGIN = 06/04/2015 11:25
06/04/2015 11:32 - GMONTREZOR | ID_USUARIO = 11164 | DATA_LOGIN = 06/04/2015 11:32
06/04/2015 11:44 - LUZMARINA | ID_USUARIO = 10900 | DATA_LOGIN = 06/04/2015 11:44
06/04/2015 11:47 - ACIR | ID_USUARIO = 10839 | DATA_LOGIN = 06/04/2015 11:47
06/04/2015 12:03 - ALEXANDRE | ID_USUARIO = 10837 | DATA_LOGIN = 06/04/2015 12:03
06/04/2015 12:38 - SIDINEI | ID_USUARIO = 10968 | DATA_LOGIN = 06/04/2015 12:38
06/04/2015 12:40 - TIAGOLIMA | ID_USUARIO = 11092 | DATA_LOGIN = 06/04/2015 12:40
06/04/2015 12:52 - ELISSANDRA | ID_USUARIO = 10851 | DATA_LOGIN = 06/04/2015 12:52
06/04/2015 13:27 - MARCELOGODOI | ID_USUARIO = 11316 | DATA_LOGIN = 06/04/2015 13:27
06/04/2015 13:41 - BIRA | ID_USUARIO = 11029 | DATA_LOGIN = 06/04/2015 13:41
06/04/2015 13:45 - RODRIGO_POIT | ID_USUARIO = 11086 | DATA_LOGIN = 06/04/2015 13:45
06/04/2015 13:50 - LUZMARINA | ID_USUARIO = 10900 | DATA_LOGIN = 06/04/2015 13:50
06/04/2015 14:05 - TIAGOLIMA | ID_USUARIO = 11092 | DATA_LOGIN = 06/04/2015 14:05
06/04/2015 14:15 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 06/04/2015 14:15
06/04/2015 14:36 - GRAZIELA | ID_USUARIO = 10984 | DATA_LOGIN = 06/04/2015 14:36
06/04/2015 14:58 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 06/04/2015 14:58
06/04/2015 15:05 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 06/04/2015 15:05
06/04/2015 15:09 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 06/04/2015 15:09
06/04/2015 15:09 - FERNANDO | ID_USUARIO = 10842 | DATA_LOGIN = 06/04/2015 15:09
06/04/2015 15:09 - FERNANDO | ID_USUARIO = 10842 | DATA_LOGIN = 06/04/2015 15:09
06/04/2015 15:12 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 06/04/2015 15:12
06/04/2015 15:16 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 06/04/2015 15:16
06/04/2015 15:16 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 06/04/2015 15:16
06/04/2015 15:16 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 06/04/2015 15:16
06/04/2015 15:22 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 06/04/2015 15:22
06/04/2015 15:24 - BIRA | ID_USUARIO = 11029 | DATA_LOGIN = 06/04/2015 15:24
06/04/2015 15:33 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 06/04/2015 15:33
06/04/2015 15:39 - LUCIMARA | ID_USUARIO = 10852 | DATA_LOGIN = 06/04/2015 15:39
06/04/2015 15:40 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 06/04/2015 15:40
06/04/2015 15:40 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 06/04/2015 15:40
06/04/2015 15:48 - LUCIA | ID_USUARIO = 10915 | DATA_LOGIN = 06/04/2015 15:48
06/04/2015 15:56 - RONALDSIQUEIRA | ID_USUARIO = 11221 | DATA_LOGIN = 06/04/2015 15:56
06/04/2015 16:15 - KLEBER | ID_USUARIO = 10906 | DATA_LOGIN = 06/04/2015 16:15
06/04/2015 16:21 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 06/04/2015 16:21
06/04/2015 16:31 - JT | ID_USUARIO = 10823 | DATA_LOGIN = 06/04/2015 16:31
06/04/2015 16:32 - LUISMOREIRA | ID_USUARIO = 11281 | DATA_LOGIN = 06/04/2015 16:32
06/04/2015 16:35 - SIDINEI | ID_USUARIO = 10968 | DATA_LOGIN = 06/04/2015 16:35
06/04/2015 16:36 - CAMARA | ID_USUARIO = 10841 | DATA_LOGIN = 06/04/2015 16:36
06/04/2015 16:37 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 06/04/2015 16:37
06/04/2015 16:38 - LUISMOREIRA | ID_USUARIO = 11281 | DATA_LOGIN = 06/04/2015 16:38
06/04/2015 16:43 - AREIAS | ID_USUARIO = 10997 | DATA_LOGIN = 06/04/2015 16:43
06/04/2015 16:45 - AREIAS | ID_USUARIO = 10997 | DATA_LOGIN = 06/04/2015 16:45
06/04/2015 16:46 - LUISMOREIRA | ID_USUARIO = 11281 | DATA_LOGIN = 06/04/2015 16:46
06/04/2015 17:25 - JT | ID_USUARIO = 10823 | DATA_LOGIN = 06/04/2015 17:25
06/04/2015 18:45 - MONICA | ID_USUARIO = 10876 | DATA_LOGIN = 06/04/2015 18:45
07/04/2015 07:03 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 07/04/2015 7:03
07/04/2015 07:06 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 07/04/2015 7:06
