03/08/2017 09:44 - AZEVEDO | ID_USUARIO = 10858 | DATA_LOGIN = 03/08/2017 9:44
03/08/2017 09:45 - AZEVEDO | ID_USUARIO = 10858 | DATA_LOGIN = 03/08/2017 9:45
03/08/2017 09:52 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 03/08/2017 9:52
03/08/2017 09:56 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 03/08/2017 9:56
03/08/2017 09:57 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 03/08/2017 9:57
03/08/2017 09:57 - EDENILSON | ID_USUARIO = 10976 | DATA_LOGIN = 03/08/2017 9:57
03/08/2017 09:59 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 03/08/2017 9:59
03/08/2017 10:00 - MARCIO | ID_USUARIO = 10850 | DATA_LOGIN = 03/08/2017 10:00
03/08/2017 10:11 - JENS | ID_USUARIO = 10895 | DATA_LOGIN = 03/08/2017 10:11
03/08/2017 10:16 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 03/08/2017 10:16
03/08/2017 10:22 - BIRA | ID_USUARIO = 11029 | DATA_LOGIN = 03/08/2017 10:22
03/08/2017 10:30 - JENS | ID_USUARIO = 10895 | DATA_LOGIN = 03/08/2017 10:30
03/08/2017 11:07 - LUIDE | ID_USUARIO = 10836 | DATA_LOGIN = 03/08/2017 11:07
03/08/2017 11:09 - STEFANIAESTEVO | ID_USUARIO = 11398 | DATA_LOGIN = 03/08/2017 11:09
03/08/2017 11:09 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 03/08/2017 11:09
03/08/2017 11:11 - ELISSANDRA | ID_USUARIO = 10851 | DATA_LOGIN = 03/08/2017 11:11
03/08/2017 11:13 - OSNY | ID_USUARIO = 10826 | DATA_LOGIN = 03/08/2017 11:13
03/08/2017 11:31 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 03/08/2017 11:31
03/08/2017 11:42 - ELTON | ID_USUARIO = 10942 | DATA_LOGIN = 03/08/2017 11:42
03/08/2017 11:44 - NORIVAL | ID_USUARIO = 10955 | DATA_LOGIN = 03/08/2017 11:44
03/08/2017 12:00 - MARCIO | ID_USUARIO = 10850 | DATA_LOGIN = 03/08/2017 12:00
03/08/2017 13:00 - ELTON | ID_USUARIO = 10942 | DATA_LOGIN = 03/08/2017 13:00
03/08/2017 13:04 - JT | ID_USUARIO = 10823 | DATA_LOGIN = 03/08/2017 13:04
