07/07/2015 14:06 - ROBSONMANFRIM | USUARIO = 11234 | CI = 12419 | STATUS = 3 | DATA = 07/07/2015 14:06 | MOTIVO_CANCELAMENTO = 
07/07/2015 14:10 - DORACI | USUARIO = 10886 | CI = 12478 | STATUS = 7 | DATA = 07/07/2015 14:10 | MOTIVO_CANCELAMENTO = 
07/07/2015 14:10 - DORACI | USUARIO = 10886 | CI = 12478 | STATUS = 3 | DATA = 07/07/2015 14:10 | MOTIVO_CANCELAMENTO = 
07/07/2015 14:41 - FERNANDO | USUARIO = 10842 | CI = 12416 | STATUS = 3 | DATA = 07/07/2015 14:41 | MOTIVO_CANCELAMENTO = 
07/07/2015 14:44 - FERNANDO | USUARIO = 10842 | CI = 12415 | STATUS = 3 | DATA = 07/07/2015 14:44 | MOTIVO_CANCELAMENTO = 
07/07/2015 14:45 - FERNANDO | USUARIO = 10842 | CI = 12408 | STATUS = 3 | DATA = 07/07/2015 14:45 | MOTIVO_CANCELAMENTO = 
07/07/2015 15:10 - ROBSONMANFRIM | USUARIO = 11234 | CI = 12448 | STATUS = 7 | DATA = 07/07/2015 15:09 | MOTIVO_CANCELAMENTO = 
07/07/2015 15:10 - ROBSONMANFRIM | USUARIO = 11234 | CI = 12448 | STATUS = 3 | DATA = 07/07/2015 15:09 | MOTIVO_CANCELAMENTO = 
07/07/2015 15:53 - JT | USUARIO = 10823 | CI = 12475 | STATUS = 3 | DATA = 07/07/2015 15:53 | MOTIVO_CANCELAMENTO = 
07/07/2015 15:53 - JT | USUARIO = 10823 | CI = 12476 | STATUS = 7 | DATA = 07/07/2015 15:53 | MOTIVO_CANCELAMENTO = 
07/07/2015 15:53 - JT | USUARIO = 10823 | CI = 12476 | STATUS = 3 | DATA = 07/07/2015 15:53 | MOTIVO_CANCELAMENTO = 
07/07/2015 19:31 - FERNANDO | USUARIO = 10842 | CI = 12479 | STATUS = 3 | DATA = 07/07/2015 19:31 | MOTIVO_CANCELAMENTO = 
08/07/2015 07:40 - ROBSONMANFRIM | USUARIO = 11234 | CI = 12480 | STATUS = 7 | DATA = 08/07/2015 7:40 | MOTIVO_CANCELAMENTO = 
08/07/2015 07:40 - ROBSONMANFRIM | USUARIO = 11234 | CI = 12480 | STATUS = 3 | DATA = 08/07/2015 7:40 | MOTIVO_CANCELAMENTO = 
08/07/2015 07:41 - ROBSONMANFRIM | USUARIO = 11234 | CI = 12461 | STATUS = 7 | DATA = 08/07/2015 7:41 | MOTIVO_CANCELAMENTO = 
08/07/2015 07:41 - ROBSONMANFRIM | USUARIO = 11234 | CI = 12461 | STATUS = 3 | DATA = 08/07/2015 7:41 | MOTIVO_CANCELAMENTO = 
08/07/2015 07:48 - ROBSONMANFRIM | USUARIO = 11234 | CI = 12459 | STATUS = 7 | DATA = 08/07/2015 7:48 | MOTIVO_CANCELAMENTO = “Imposto será compensado via PER / DCOMP, entrar em contato com o Dep. Tributário”
08/07/2015 07:48 - ROBSONMANFRIM | USUARIO = 11234 | CI = 12459 | STATUS = 3 | DATA = 08/07/2015 7:48 | MOTIVO_CANCELAMENTO = “Imposto será compensado via PER / DCOMP, entrar em contato com o Dep. Tributário”
08/07/2015 07:51 - ROBSONMANFRIM | USUARIO = 11234 | CI = 12456 | STATUS = 7 | DATA = 08/07/2015 7:51 | MOTIVO_CANCELAMENTO = “Imposto será compensado via PER / DCOMP, entrar em contato com o Dep. Tributário”
08/07/2015 07:51 - ROBSONMANFRIM | USUARIO = 11234 | CI = 12456 | STATUS = 3 | DATA = 08/07/2015 7:51 | MOTIVO_CANCELAMENTO = “Imposto será compensado via PER / DCOMP, entrar em contato com o Dep. Tributário”
08/07/2015 07:54 - ROBSONMANFRIM | USUARIO = 11234 | CI = 12454 | STATUS = 7 | DATA = 08/07/2015 7:54 | MOTIVO_CANCELAMENTO = 
08/07/2015 07:54 - ROBSONMANFRIM | USUARIO = 11234 | CI = 12454 | STATUS = 3 | DATA = 08/07/2015 7:54 | MOTIVO_CANCELAMENTO = 
08/07/2015 08:18 - REGI | USUARIO = 10864 | CI = 12483 | STATUS = 3 | DATA = 08/07/2015 8:18 | MOTIVO_CANCELAMENTO = ok
08/07/2015 09:05 - ZEZE | USUARIO = 10931 | CI = 12482 | STATUS = 7 | DATA = 08/07/2015 9:05 | MOTIVO_CANCELAMENTO = 
08/07/2015 09:05 - ZEZE | USUARIO = 10931 | CI = 12482 | STATUS = 3 | DATA = 08/07/2015 9:05 | MOTIVO_CANCELAMENTO = 
08/07/2015 10:20 - ROBSONMANFRIM | USUARIO = 11234 | CI = 12481 | STATUS = 7 | DATA = 08/07/2015 10:20 | MOTIVO_CANCELAMENTO = 
08/07/2015 10:20 - ROBSONMANFRIM | USUARIO = 11234 | CI = 12481 | STATUS = 3 | DATA = 08/07/2015 10:20 | MOTIVO_CANCELAMENTO = 
08/07/2015 11:34 - AREIAS | USUARIO = 10997 | CI = 12455 | STATUS = 7 | DATA = 08/07/2015 11:34 | MOTIVO_CANCELAMENTO = 
08/07/2015 13:26 - DORACI | USUARIO = 10886 | CI = 12487 | STATUS = 7 | DATA = 08/07/2015 13:26 | MOTIVO_CANCELAMENTO = 
08/07/2015 13:26 - DORACI | USUARIO = 10886 | CI = 12487 | STATUS = 3 | DATA = 08/07/2015 13:26 | MOTIVO_CANCELAMENTO = 
08/07/2015 13:36 - REGI | USUARIO = 10864 | CI = 12488 | STATUS = 3 | DATA = 08/07/2015 13:36 | MOTIVO_CANCELAMENTO = ok
08/07/2015 14:41 - TOM | USUARIO = 10831 | CI = 12466 | STATUS = 7 | DATA = 08/07/2015 14:41 | MOTIVO_CANCELAMENTO = 
08/07/2015 14:41 - TOM | USUARIO = 10831 | CI = 12468 | STATUS = 7 | DATA = 08/07/2015 14:41 | MOTIVO_CANCELAMENTO = 
08/07/2015 14:41 - TOM | USUARIO = 10831 | CI = 12468 | STATUS = 3 | DATA = 08/07/2015 14:41 | MOTIVO_CANCELAMENTO = 
08/07/2015 14:42 - TOM | USUARIO = 10831 | CI = 12470 | STATUS = 7 | DATA = 08/07/2015 14:42 | MOTIVO_CANCELAMENTO = 
08/07/2015 14:42 - TOM | USUARIO = 10831 | CI = 12470 | STATUS = 3 | DATA = 08/07/2015 14:42 | MOTIVO_CANCELAMENTO = 
