04/12/2017 09:34 - HEBERTLUCIO | ID_USUARIO = 11635 | DATA_LOGIN = 04/12/2017 9:34
04/12/2017 09:49 - CHRISTIANO | ID_USUARIO = 11570 | DATA_LOGIN = 04/12/2017 9:49
04/12/2017 09:54 - DOUGLAS | ID_USUARIO = 11530 | DATA_LOGIN = 04/12/2017 9:54
04/12/2017 09:56 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 04/12/2017 9:56
04/12/2017 10:05 - ROSE | ID_USUARIO = 10872 | DATA_LOGIN = 04/12/2017 10:05
04/12/2017 10:08 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 04/12/2017 10:08
04/12/2017 10:09 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 04/12/2017 10:09
04/12/2017 10:17 - GISELERATEIRO | ID_USUARIO = 11143 | DATA_LOGIN = 04/12/2017 10:17
04/12/2017 10:20 - ERIC | ID_USUARIO = 11080 | DATA_LOGIN = 04/12/2017 10:20
04/12/2017 10:33 - JENS | ID_USUARIO = 10895 | DATA_LOGIN = 04/12/2017 10:33
04/12/2017 11:01 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 04/12/2017 11:01
04/12/2017 11:03 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 04/12/2017 11:03
04/12/2017 11:07 - ROSE | ID_USUARIO = 10872 | DATA_LOGIN = 04/12/2017 11:07
04/12/2017 11:23 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 04/12/2017 11:23
04/12/2017 11:27 - OTAVIOGIRO | ID_USUARIO = 526 | DATA_LOGIN = 04/12/2017 11:27
04/12/2017 11:33 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 04/12/2017 11:33
04/12/2017 11:44 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 04/12/2017 11:44
04/12/2017 11:48 - ROGERINHO | ID_USUARIO = 238 | DATA_LOGIN = 04/12/2017 11:48
04/12/2017 12:09 - CHRISTIANO | ID_USUARIO = 11570 | DATA_LOGIN = 04/12/2017 12:09
04/12/2017 13:07 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 04/12/2017 13:07
04/12/2017 13:13 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 04/12/2017 13:13
04/12/2017 13:17 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 04/12/2017 13:17
04/12/2017 13:17 - ANGELO | ID_USUARIO = 10969 | DATA_LOGIN = 04/12/2017 13:17
04/12/2017 13:23 - OTAVIOGIRO | ID_USUARIO = 526 | DATA_LOGIN = 04/12/2017 13:23
04/12/2017 13:29 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 04/12/2017 13:29
04/12/2017 13:33 - ROBERTA | ID_USUARIO = 10935 | DATA_LOGIN = 04/12/2017 13:33
04/12/2017 13:35 - NORIVAL | ID_USUARIO = 10955 | DATA_LOGIN = 04/12/2017 13:35
04/12/2017 14:40 - ELISSANDRA | ID_USUARIO = 10851 | DATA_LOGIN = 04/12/2017 14:40
04/12/2017 14:41 - REGI | ID_USUARIO = 10864 | DATA_LOGIN = 04/12/2017 14:41
04/12/2017 14:43 - FAUSTO | ID_USUARIO = 11238 | DATA_LOGIN = 04/12/2017 14:43
04/12/2017 14:43 - TADEUMACHADO | ID_USUARIO = 11594 | DATA_LOGIN = 04/12/2017 14:43
04/12/2017 14:44 - MARCELOGODOI | ID_USUARIO = 11316 | DATA_LOGIN = 04/12/2017 14:44
04/12/2017 14:44 - MARCIANO | ID_USUARIO = 10973 | DATA_LOGIN = 04/12/2017 14:44
04/12/2017 14:49 - ERIC | ID_USUARIO = 11080 | DATA_LOGIN = 04/12/2017 14:49
04/12/2017 14:49 - ANGELO | ID_USUARIO = 10969 | DATA_LOGIN = 04/12/2017 14:49
04/12/2017 14:49 - NORIVAL | ID_USUARIO = 10955 | DATA_LOGIN = 04/12/2017 14:49
04/12/2017 14:50 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 04/12/2017 14:50
04/12/2017 14:56 - AMADEUBOVI | ID_USUARIO = 6888 | DATA_LOGIN = 04/12/2017 14:56
04/12/2017 15:14 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 04/12/2017 15:14
04/12/2017 15:15 - ADRIANA | ID_USUARIO = 10859 | DATA_LOGIN = 04/12/2017 15:15
04/12/2017 15:27 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 04/12/2017 15:27
04/12/2017 15:33 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 04/12/2017 15:33
04/12/2017 15:33 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 04/12/2017 15:33
04/12/2017 15:39 - ALINEFERREIRA | ID_USUARIO = 11212 | DATA_LOGIN = 04/12/2017 15:39
04/12/2017 15:40 - ALINEFERREIRA | ID_USUARIO = 11212 | DATA_LOGIN = 04/12/2017 15:40
04/12/2017 15:43 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 04/12/2017 15:43
04/12/2017 15:45 - ROBERTA | ID_USUARIO = 10935 | DATA_LOGIN = 04/12/2017 15:45
04/12/2017 15:48 - VALDINEI | ID_USUARIO = 11172 | DATA_LOGIN = 04/12/2017 15:48
04/12/2017 16:07 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 04/12/2017 16:07
04/12/2017 16:19 - REGI | ID_USUARIO = 10864 | DATA_LOGIN = 04/12/2017 16:19
04/12/2017 16:21 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 04/12/2017 16:21
04/12/2017 16:28 - ROSE | ID_USUARIO = 10872 | DATA_LOGIN = 04/12/2017 16:28
04/12/2017 16:30 - TADEUMACHADO | ID_USUARIO = 11594 | DATA_LOGIN = 04/12/2017 16:30
04/12/2017 16:42 - FABIOTOMASETTO | ID_USUARIO = 11180 | DATA_LOGIN = 04/12/2017 16:42
04/12/2017 16:44 - VALDEREZ | ID_USUARIO = 10871 | DATA_LOGIN = 04/12/2017 16:44
04/12/2017 16:44 - JT | ID_USUARIO = 10823 | DATA_LOGIN = 04/12/2017 16:44
04/12/2017 16:46 - NORIVAL | ID_USUARIO = 10955 | DATA_LOGIN = 04/12/2017 16:46
04/12/2017 16:48 - NORIVAL | ID_USUARIO = 10955 | DATA_LOGIN = 04/12/2017 16:48
04/12/2017 16:50 - LUISMOREIRA | ID_USUARIO = 11281 | DATA_LOGIN = 04/12/2017 16:50
04/12/2017 16:51 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 04/12/2017 16:51
04/12/2017 16:51 - AREIAS | ID_USUARIO = 10997 | DATA_LOGIN = 04/12/2017 16:51
04/12/2017 16:52 - MATHEUSRODRIGUES | ID_USUARIO = 11533 | DATA_LOGIN = 04/12/2017 16:52
04/12/2017 16:53 - VALDEREZ | ID_USUARIO = 10871 | DATA_LOGIN = 04/12/2017 16:53
04/12/2017 16:53 - ROSE | ID_USUARIO = 10872 | DATA_LOGIN = 04/12/2017 16:53
04/12/2017 17:05 - FABIOTOMASETTO | ID_USUARIO = 11180 | DATA_LOGIN = 04/12/2017 17:05
04/12/2017 17:09 - REGI | ID_USUARIO = 10864 | DATA_LOGIN = 04/12/2017 17:09
04/12/2017 17:13 - BRUNOCAMAROTTI | ID_USUARIO = 11392 | DATA_LOGIN = 04/12/2017 17:13
04/12/2017 17:16 - FABIOTOMASETTO | ID_USUARIO = 11180 | DATA_LOGIN = 04/12/2017 17:16
04/12/2017 17:26 - LUISMORETTI | ID_USUARIO = 11387 | DATA_LOGIN = 04/12/2017 17:26
04/12/2017 17:30 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 04/12/2017 17:30
04/12/2017 17:35 - CAIOAUGUSTO | ID_USUARIO = 11320 | DATA_LOGIN = 04/12/2017 17:35
04/12/2017 17:35 - TADEUMACHADO | ID_USUARIO = 11594 | DATA_LOGIN = 04/12/2017 17:35
04/12/2017 17:35 - BRUNOCAMAROTTI | ID_USUARIO = 11392 | DATA_LOGIN = 04/12/2017 17:35
04/12/2017 17:36 - CAIOAUGUSTO | ID_USUARIO = 11320 | DATA_LOGIN = 04/12/2017 17:36
04/12/2017 17:37 - AREIAS | ID_USUARIO = 10997 | DATA_LOGIN = 04/12/2017 17:37
04/12/2017 17:41 - VALDEREZ | ID_USUARIO = 10871 | DATA_LOGIN = 04/12/2017 17:41
04/12/2017 17:50 - VALDEREZ | ID_USUARIO = 10871 | DATA_LOGIN = 04/12/2017 17:50
04/12/2017 18:14 - VALDEREZ | ID_USUARIO = 10871 | DATA_LOGIN = 04/12/2017 18:14
04/12/2017 18:34 - VALDEREZ | ID_USUARIO = 10871 | DATA_LOGIN = 04/12/2017 18:34
04/12/2017 18:47 - VALDEREZ | ID_USUARIO = 10871 | DATA_LOGIN = 04/12/2017 18:47
04/12/2017 18:50 - MONICA | ID_USUARIO = 10876 | DATA_LOGIN = 04/12/2017 18:50
04/12/2017 18:55 - VALDEREZ | ID_USUARIO = 10871 | DATA_LOGIN = 04/12/2017 18:55
04/12/2017 22:06 - DOUGLAS | ID_USUARIO = 11530 | DATA_LOGIN = 04/12/2017 22:06
05/12/2017 07:09 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 05/12/2017 7:09
05/12/2017 07:09 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 05/12/2017 7:09
05/12/2017 07:13 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 05/12/2017 7:13
