03/08/2017 09:57 - ZEZE | USUARIO = 10931 | CI = 21518 | STATUS = 3 | DATA = 03/08/2017 9:57 | MOTIVO_CANCELAMENTO = 
03/08/2017 10:30 - JENS | USUARIO = 10895 | CI = 21514 | STATUS = 3 | DATA = 03/08/2017 10:30 | MOTIVO_CANCELAMENTO = 
03/08/2017 11:07 - LUIDE | USUARIO = 10836 | CI = 21465 | STATUS = 7 | DATA = 03/08/2017 11:07 | MOTIVO_CANCELAMENTO = 
03/08/2017 11:07 - LUIDE | USUARIO = 10836 | CI = 21466 | STATUS = 7 | DATA = 03/08/2017 11:07 | MOTIVO_CANCELAMENTO = 
03/08/2017 11:07 - LUIDE | USUARIO = 10836 | CI = 21472 | STATUS = 3 | DATA = 03/08/2017 11:07 | MOTIVO_CANCELAMENTO = 
03/08/2017 11:08 - LUIDE | USUARIO = 10836 | CI = 21480 | STATUS = 3 | DATA = 03/08/2017 11:08 | MOTIVO_CANCELAMENTO = 
03/08/2017 11:08 - LUIDE | USUARIO = 10836 | CI = 21485 | STATUS = 7 | DATA = 03/08/2017 11:08 | MOTIVO_CANCELAMENTO = 
03/08/2017 11:08 - LUIDE | USUARIO = 10836 | CI = 21485 | STATUS = 3 | DATA = 03/08/2017 11:08 | MOTIVO_CANCELAMENTO = 
03/08/2017 11:08 - LUIDE | USUARIO = 10836 | CI = 21487 | STATUS = 7 | DATA = 03/08/2017 11:08 | MOTIVO_CANCELAMENTO = 
03/08/2017 11:08 - LUIDE | USUARIO = 10836 | CI = 21487 | STATUS = 3 | DATA = 03/08/2017 11:08 | MOTIVO_CANCELAMENTO = 
03/08/2017 11:08 - LUIDE | USUARIO = 10836 | CI = 21488 | STATUS = 7 | DATA = 03/08/2017 11:08 | MOTIVO_CANCELAMENTO = 
03/08/2017 11:08 - LUIDE | USUARIO = 10836 | CI = 21488 | STATUS = 3 | DATA = 03/08/2017 11:08 | MOTIVO_CANCELAMENTO = 
03/08/2017 11:08 - LUIDE | USUARIO = 10836 | CI = 21489 | STATUS = 7 | DATA = 03/08/2017 11:08 | MOTIVO_CANCELAMENTO = 
03/08/2017 11:08 - LUIDE | USUARIO = 10836 | CI = 21494 | STATUS = 3 | DATA = 03/08/2017 11:08 | MOTIVO_CANCELAMENTO = 
03/08/2017 11:09 - LUIDE | USUARIO = 10836 | CI = 21507 | STATUS = 3 | DATA = 03/08/2017 11:09 | MOTIVO_CANCELAMENTO = 
03/08/2017 11:09 - LUIDE | USUARIO = 10836 | CI = 21509 | STATUS = 7 | DATA = 03/08/2017 11:09 | MOTIVO_CANCELAMENTO = 
