05/09/2018 07:02 - ROSE | ID_USUARIO = 10872 | DATA_LOGIN = 05/09/2018 7:02
05/09/2018 07:10 - ROSE | ID_USUARIO = 10872 | DATA_LOGIN = 05/09/2018 7:10
05/09/2018 07:11 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 05/09/2018 7:11
05/09/2018 07:11 - ERIC | ID_USUARIO = 11080 | DATA_LOGIN = 05/09/2018 7:11
05/09/2018 07:12 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 05/09/2018 7:12
05/09/2018 07:12 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 05/09/2018 7:12
05/09/2018 07:13 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 05/09/2018 7:13
05/09/2018 07:13 - MARCIANO | ID_USUARIO = 10973 | DATA_LOGIN = 05/09/2018 7:13
05/09/2018 07:16 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 05/09/2018 7:16
05/09/2018 07:20 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 05/09/2018 7:20
05/09/2018 07:37 - RODRIGO_POIT | ID_USUARIO = 11086 | DATA_LOGIN = 05/09/2018 7:37
05/09/2018 07:45 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 05/09/2018 7:45
05/09/2018 08:06 - SONARAPIASSI | ID_USUARIO = 494 | DATA_LOGIN = 05/09/2018 8:06
05/09/2018 08:32 - CAIOAUGUSTO | ID_USUARIO = 11320 | DATA_LOGIN = 05/09/2018 8:32
05/09/2018 08:51 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 05/09/2018 8:51
05/09/2018 08:59 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 05/09/2018 8:59
05/09/2018 09:04 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 05/09/2018 9:04
05/09/2018 09:09 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 05/09/2018 9:09
05/09/2018 09:19 - ADRIANA | ID_USUARIO = 10859 | DATA_LOGIN = 05/09/2018 9:19
05/09/2018 09:28 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 05/09/2018 9:28
05/09/2018 09:30 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 05/09/2018 9:30
05/09/2018 09:35 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 05/09/2018 9:35
05/09/2018 09:38 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 05/09/2018 9:38
