07/03/2016 14:20 - TOM | USUARIO = 10831 | CI = 15114 | STATUS = 7 | DATA = 07/03/2016 14:19 | MOTIVO_CANCELAMENTO = 
07/03/2016 14:20 - TOM | USUARIO = 10831 | CI = 15114 | STATUS = 3 | DATA = 07/03/2016 14:19 | MOTIVO_CANCELAMENTO = 
07/03/2016 14:20 - TOM | USUARIO = 10831 | CI = 15122 | STATUS = 7 | DATA = 07/03/2016 14:20 | MOTIVO_CANCELAMENTO = 
07/03/2016 14:20 - TOM | USUARIO = 10831 | CI = 15122 | STATUS = 3 | DATA = 07/03/2016 14:20 | MOTIVO_CANCELAMENTO = 
07/03/2016 14:20 - TOM | USUARIO = 10831 | CI = 15116 | STATUS = 7 | DATA = 07/03/2016 14:20 | MOTIVO_CANCELAMENTO = 
07/03/2016 14:20 - TOM | USUARIO = 10831 | CI = 15116 | STATUS = 3 | DATA = 07/03/2016 14:20 | MOTIVO_CANCELAMENTO = 
07/03/2016 14:20 - TOM | USUARIO = 10831 | CI = 15123 | STATUS = 7 | DATA = 07/03/2016 14:20 | MOTIVO_CANCELAMENTO = 
07/03/2016 14:20 - TOM | USUARIO = 10831 | CI = 15123 | STATUS = 3 | DATA = 07/03/2016 14:20 | MOTIVO_CANCELAMENTO = 
07/03/2016 14:22 - TOM | USUARIO = 10831 | CI = 15124 | STATUS = 3 | DATA = 07/03/2016 14:22 | MOTIVO_CANCELAMENTO = 
07/03/2016 14:58 - TOM | USUARIO = 10831 | CI = 15115 | STATUS = 8 | DATA = 07/03/2016 14:58 | MOTIVO_CANCELAMENTO = não foi apresentada a copia da sentença. falta a discriminação dos calculos das verbas que estão sendo pagas. Não houve nenhuma tentativa de negociação ou de parcelamento ??
07/03/2016 17:22 - ACIR | USUARIO = 10839 | CI = 15128 | STATUS = 3 | DATA = 07/03/2016 17:22 | MOTIVO_CANCELAMENTO = 
07/03/2016 17:23 - ACIR | USUARIO = 10839 | CI = 15129 | STATUS = 3 | DATA = 07/03/2016 17:23 | MOTIVO_CANCELAMENTO = 
07/03/2016 17:23 - ACIR | USUARIO = 10839 | CI = 15126 | STATUS = 3 | DATA = 07/03/2016 17:23 | MOTIVO_CANCELAMENTO = 
07/03/2016 17:23 - ACIR | USUARIO = 10839 | CI = 15112 | STATUS = 3 | DATA = 07/03/2016 17:23 | MOTIVO_CANCELAMENTO = 
08/03/2016 07:12 - ROBSONMANFRIM | USUARIO = 11234 | CI = 15098 | STATUS = 7 | DATA = 08/03/2016 7:12 | MOTIVO_CANCELAMENTO = 
08/03/2016 07:13 - ROBSONMANFRIM | USUARIO = 11234 | CI = 15095 | STATUS = 7 | DATA = 08/03/2016 7:13 | MOTIVO_CANCELAMENTO = 
08/03/2016 07:15 - ROBSONMANFRIM | USUARIO = 11234 | CI = 15094 | STATUS = 7 | DATA = 08/03/2016 7:15 | MOTIVO_CANCELAMENTO = Vencimento 18/03/2016
08/03/2016 07:17 - ROBSONMANFRIM | USUARIO = 11234 | CI = 15090 | STATUS = 7 | DATA = 08/03/2016 7:17 | MOTIVO_CANCELAMENTO = Vencimento 24/03/2016 

“Imposto será compensado via PER / DCOMP, entrar em contato com o Dep. Tributário”
