15/05/2019 09:00 - HEBERTLUCIO | USUARIO = 11635 | CI = 27336 | STATUS = 3 | DATA = 15/05/2019 9:00 | MOTIVO_CANCELAMENTO = 
15/05/2019 09:08 - CAMARA | USUARIO = 10841 | CI = 27338 | STATUS = 7 | DATA = 15/05/2019 9:08 | MOTIVO_CANCELAMENTO = 
15/05/2019 09:08 - CAMARA | USUARIO = 10841 | CI = 27338 | STATUS = 3 | DATA = 15/05/2019 9:08 | MOTIVO_CANCELAMENTO = 
15/05/2019 09:44 - HEBERTLUCIO | USUARIO = 11635 | CI = 27339 | STATUS = 3 | DATA = 15/05/2019 9:44 | MOTIVO_CANCELAMENTO = 
15/05/2019 10:36 - MARCIO | USUARIO = 10850 | CI = 27341 | STATUS = 3 | DATA = 15/05/2019 10:36 | MOTIVO_CANCELAMENTO = 
15/05/2019 10:57 - JT | USUARIO = 10823 | CI = 27342 | STATUS = 7 | DATA = 15/05/2019 10:57 | MOTIVO_CANCELAMENTO = Deveria ter em estoque. 
15/05/2019 11:16 - JT | USUARIO = 10823 | CI = 27343 | STATUS = 7 | DATA = 15/05/2019 11:16 | MOTIVO_CANCELAMENTO = 
15/05/2019 11:16 - JT | USUARIO = 10823 | CI = 27343 | STATUS = 3 | DATA = 15/05/2019 11:16 | MOTIVO_CANCELAMENTO = 
15/05/2019 11:33 - MARCIO | USUARIO = 10850 | CI = 27345 | STATUS = 7 | DATA = 15/05/2019 11:33 | MOTIVO_CANCELAMENTO = 
15/05/2019 11:33 - MARCIO | USUARIO = 10850 | CI = 27345 | STATUS = 3 | DATA = 15/05/2019 11:33 | MOTIVO_CANCELAMENTO = 
15/05/2019 11:50 - DOUGLAS | USUARIO = 11530 | CI = 27340 | STATUS = 3 | DATA = 15/05/2019 11:50 | MOTIVO_CANCELAMENTO = 
15/05/2019 16:07 - JOAOROGANTE | USUARIO = 6966 | CI = 27342 | STATUS = 3 | DATA = 15/05/2019 16:07 | MOTIVO_CANCELAMENTO = 
15/05/2019 16:50 - AREIAS | USUARIO = 10997 | CI = 27325 | STATUS = 3 | DATA = 15/05/2019 16:50 | MOTIVO_CANCELAMENTO = 
16/05/2019 08:05 - MARCIO | USUARIO = 10850 | CI = 27346 | STATUS = 7 | DATA = 16/05/2019 8:05 | MOTIVO_CANCELAMENTO = 
16/05/2019 08:05 - MARCIO | USUARIO = 10850 | CI = 27346 | STATUS = 3 | DATA = 16/05/2019 8:05 | MOTIVO_CANCELAMENTO = 
