27/09/2017 13:37 - ALINEFERREIRA | ID =  | CI = 22094 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 122.85
27/09/2017 14:51 - LUZMARINA | ID =  | CI = 22097 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 69.02
27/09/2017 14:51 - LUZMARINA | ID =  | CI = 22097 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 24.00
28/09/2017 07:54 - LUISMOREIRA | ID =  | CI = 22100 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 27.00
28/09/2017 10:50 - GUSTAVOMELGES | ID =  | CI = 22105 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 94.05
28/09/2017 10:50 - GUSTAVOMELGES | ID =  | CI = 22105 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
28/09/2017 13:13 - OTAVIOGIRO | ID =  | CI = 22108 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 139.00
29/09/2017 07:00 - KLEBER | ID =  | CI = 22117 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 0.00
29/09/2017 07:00 - KLEBER | ID =  | CI = 22117 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 0.00
29/09/2017 07:00 - KLEBER | ID =  | CI = 22117 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 108.90
29/09/2017 07:00 - KLEBER | ID =  | CI = 22117 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
29/09/2017 07:00 - KLEBER | ID =  | CI = 22117 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 0.00
29/09/2017 07:00 - KLEBER | ID =  | CI = 22117 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 0.00
29/09/2017 07:33 - OTAVIOGIRO | ID =  | CI = 22118 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 120.00
29/09/2017 07:33 - OTAVIOGIRO | ID =  | CI = 22118 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 37.90
29/09/2017 07:44 - OTAVIOGIRO | ID =  | CI = 22119 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 8.00
29/09/2017 07:44 - VELOSA | ID =  | CI = 22120 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 23.68
29/09/2017 07:44 - VELOSA | ID =  | CI = 22120 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 8.00
29/09/2017 07:44 - VELOSA | ID =  | CI = 22120 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 0.00
29/09/2017 08:46 - STEFANIAESTEVO | ID =  | CI = 22124 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 92.01
29/09/2017 09:14 - LUZMARINA | ID =  | CI = 22127 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 4.00
29/09/2017 09:14 - LUZMARINA | ID =  | CI = 22127 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 35.40
29/09/2017 09:17 - LUZMARINA | ID =  | CI = 22128 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 80.00
29/09/2017 14:27 - MARTA | ID =  | CI = 22134 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 60.47
