05/07/2017 18:11 - CHRISTIANO | USUARIO = 11570 | CI = 21169 | STATUS = 3 | DATA = 05/07/2017 18:11 | MOTIVO_CANCELAMENTO = 
05/07/2017 18:12 - CHRISTIANO | USUARIO = 11570 | CI = 21181 | STATUS = 3 | DATA = 05/07/2017 18:12 | MOTIVO_CANCELAMENTO = 
05/07/2017 18:12 - CHRISTIANO | USUARIO = 11570 | CI = 21180 | STATUS = 3 | DATA = 05/07/2017 18:12 | MOTIVO_CANCELAMENTO = 
05/07/2017 18:12 - CHRISTIANO | USUARIO = 11570 | CI = 21173 | STATUS = 3 | DATA = 05/07/2017 18:12 | MOTIVO_CANCELAMENTO = 
05/07/2017 19:01 - DOUGLAS | USUARIO = 11530 | CI = 21177 | STATUS = 3 | DATA = 05/07/2017 19:01 | MOTIVO_CANCELAMENTO = mediante aprovação ACC
05/07/2017 19:01 - DOUGLAS | USUARIO = 11530 | CI = 21180 | STATUS = 3 | DATA = 05/07/2017 19:01 | MOTIVO_CANCELAMENTO = mediante aprovação ACC
05/07/2017 19:01 - DOUGLAS | USUARIO = 11530 | CI = 21181 | STATUS = 3 | DATA = 05/07/2017 19:01 | MOTIVO_CANCELAMENTO = mediante aprovação ACC
06/07/2017 07:27 - AREIAS | USUARIO = 10997 | CI = 21183 | STATUS = 7 | DATA = 06/07/2017 7:27 | MOTIVO_CANCELAMENTO = 
06/07/2017 07:27 - AREIAS | USUARIO = 10997 | CI = 21184 | STATUS = 7 | DATA = 06/07/2017 7:27 | MOTIVO_CANCELAMENTO = 
06/07/2017 07:27 - AREIAS | USUARIO = 10997 | CI = 21184 | STATUS = 3 | DATA = 06/07/2017 7:27 | MOTIVO_CANCELAMENTO = 
06/07/2017 08:00 - MARTA | USUARIO = 10847 | CI = 21187 | STATUS = 3 | DATA = 06/07/2017 8:00 | MOTIVO_CANCELAMENTO = aprovado.
06/07/2017 08:27 - ZEZE | USUARIO = 10931 | CI = 21189 | STATUS = 3 | DATA = 06/07/2017 8:27 | MOTIVO_CANCELAMENTO = 
06/07/2017 08:31 - TOM | USUARIO = 10831 | CI = 21183 | STATUS = 3 | DATA = 06/07/2017 8:31 | MOTIVO_CANCELAMENTO = 
06/07/2017 10:31 - CAMARA | USUARIO = 10841 | CI = 21199 | STATUS = 3 | DATA = 06/07/2017 10:31 | MOTIVO_CANCELAMENTO = 
06/07/2017 10:34 - DORACI | USUARIO = 10886 | CI = 21191 | STATUS = 7 | DATA = 06/07/2017 10:34 | MOTIVO_CANCELAMENTO = 
06/07/2017 10:34 - DORACI | USUARIO = 10886 | CI = 21191 | STATUS = 3 | DATA = 06/07/2017 10:34 | MOTIVO_CANCELAMENTO = 
06/07/2017 10:35 - DOUGLAS | USUARIO = 11530 | CI = 21195 | STATUS = 3 | DATA = 06/07/2017 10:35 | MOTIVO_CANCELAMENTO = 
06/07/2017 10:37 - MARCELOGODOI | USUARIO = 11316 | CI = 21200 | STATUS = 7 | DATA = 06/07/2017 10:37 | MOTIVO_CANCELAMENTO = 
06/07/2017 10:46 - LUIDE | USUARIO = 10836 | CI = 21179 | STATUS = 7 | DATA = 06/07/2017 10:46 | MOTIVO_CANCELAMENTO = 
06/07/2017 10:46 - LUIDE | USUARIO = 10836 | CI = 21179 | STATUS = 3 | DATA = 06/07/2017 10:46 | MOTIVO_CANCELAMENTO = 
06/07/2017 10:46 - LUIDE | USUARIO = 10836 | CI = 21197 | STATUS = 3 | DATA = 06/07/2017 10:46 | MOTIVO_CANCELAMENTO = 
06/07/2017 11:10 - LUIDE | USUARIO = 10836 | CI = 21128 | STATUS = 3 | DATA = 06/07/2017 11:10 | MOTIVO_CANCELAMENTO = 
06/07/2017 11:17 - MARTA | USUARIO = 10847 | CI = 21192 | STATUS = 3 | DATA = 06/07/2017 11:17 | MOTIVO_CANCELAMENTO = 
06/07/2017 11:17 - MARTA | USUARIO = 10847 | CI = 21193 | STATUS = 3 | DATA = 06/07/2017 11:17 | MOTIVO_CANCELAMENTO = 
06/07/2017 11:27 - LUIDE | USUARIO = 10836 | CI = 21096 | STATUS = 4 | DATA = 06/07/2017 11:27 | MOTIVO_CANCELAMENTO = Ja aprovado anteriormente
06/07/2017 14:17 - GUSTAVOGIRO | USUARIO = 6963 | CI = 19074 | STATUS = 3 | DATA = 06/07/2017 14:17 | MOTIVO_CANCELAMENTO = 
06/07/2017 14:18 - GUSTAVOGIRO | USUARIO = 6963 | CI = 19923 | STATUS = 3 | DATA = 06/07/2017 14:18 | MOTIVO_CANCELAMENTO = 
06/07/2017 15:18 - JT | USUARIO = 10823 | CI = 21201 | STATUS = 7 | DATA = 06/07/2017 15:18 | MOTIVO_CANCELAMENTO = 
06/07/2017 15:18 - JT | USUARIO = 10823 | CI = 21201 | STATUS = 3 | DATA = 06/07/2017 15:18 | MOTIVO_CANCELAMENTO = 
06/07/2017 15:18 - JT | USUARIO = 10823 | CI = 21202 | STATUS = 7 | DATA = 06/07/2017 15:18 | MOTIVO_CANCELAMENTO = 
06/07/2017 15:18 - JT | USUARIO = 10823 | CI = 21202 | STATUS = 3 | DATA = 06/07/2017 15:18 | MOTIVO_CANCELAMENTO = 
06/07/2017 15:55 - ZEZE | USUARIO = 10931 | CI = 21205 | STATUS = 7 | DATA = 06/07/2017 15:55 | MOTIVO_CANCELAMENTO = 
06/07/2017 15:55 - ZEZE | USUARIO = 10931 | CI = 21205 | STATUS = 3 | DATA = 06/07/2017 15:55 | MOTIVO_CANCELAMENTO = 
06/07/2017 16:05 - ZEZE | USUARIO = 10931 | CI = 21206 | STATUS = 3 | DATA = 06/07/2017 16:05 | MOTIVO_CANCELAMENTO = 
06/07/2017 16:12 - MARTA | USUARIO = 10847 | CI = 21207 | STATUS = 3 | DATA = 06/07/2017 16:12 | MOTIVO_CANCELAMENTO = 
06/07/2017 17:16 - JOAOROGANTE | USUARIO = 6966 | CI = 20867 | STATUS = 3 | DATA = 06/07/2017 17:16 | MOTIVO_CANCELAMENTO = 
