03/08/2016 13:55 - GISELERATEIRO | ID_USUARIO = 11143 | DATA_LOGIN = 03/08/2016 13:55
03/08/2016 14:00 - JG | ID_USUARIO = 10849 | DATA_LOGIN = 03/08/2016 14:00
03/08/2016 14:15 - VALDEREZ | ID_USUARIO = 10871 | DATA_LOGIN = 03/08/2016 14:15
03/08/2016 15:13 - JT | ID_USUARIO = 10823 | DATA_LOGIN = 03/08/2016 15:13
03/08/2016 15:44 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 03/08/2016 15:44
03/08/2016 15:52 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 03/08/2016 15:52
03/08/2016 15:57 - ACIR | ID_USUARIO = 10839 | DATA_LOGIN = 03/08/2016 15:57
03/08/2016 16:02 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 03/08/2016 16:02
03/08/2016 16:03 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 03/08/2016 16:03
03/08/2016 16:05 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 03/08/2016 16:05
03/08/2016 16:06 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 03/08/2016 16:06
03/08/2016 16:39 - ALEXANDRE | ID_USUARIO = 10837 | DATA_LOGIN = 03/08/2016 16:39
03/08/2016 18:44 - JT | ID_USUARIO = 10823 | DATA_LOGIN = 03/08/2016 18:44
03/08/2016 20:07 - DOUGLAS | ID_USUARIO = 11530 | DATA_LOGIN = 03/08/2016 20:07
04/08/2016 07:10 - CHRISTIANO | ID_USUARIO = 11570 | DATA_LOGIN = 04/08/2016 7:10
04/08/2016 07:15 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 04/08/2016 7:15
04/08/2016 07:19 - AREIAS | ID_USUARIO = 10997 | DATA_LOGIN = 04/08/2016 7:19
04/08/2016 07:24 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 04/08/2016 7:24
04/08/2016 07:25 - ELISSANDRA | ID_USUARIO = 10851 | DATA_LOGIN = 04/08/2016 7:25
04/08/2016 07:35 - ELISSANDRA | ID_USUARIO = 10851 | DATA_LOGIN = 04/08/2016 7:35
04/08/2016 07:36 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 04/08/2016 7:36
04/08/2016 07:43 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 04/08/2016 7:43
04/08/2016 07:54 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 04/08/2016 7:54
04/08/2016 08:07 - ADEIR | ID_USUARIO = 10916 | DATA_LOGIN = 04/08/2016 8:07
04/08/2016 08:13 - NORIVAL | ID_USUARIO = 10955 | DATA_LOGIN = 04/08/2016 8:13
04/08/2016 08:17 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 04/08/2016 8:17
04/08/2016 08:21 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 04/08/2016 8:21
04/08/2016 08:21 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 04/08/2016 8:21
04/08/2016 08:36 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 04/08/2016 8:36
04/08/2016 08:46 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 04/08/2016 8:46
04/08/2016 08:49 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 04/08/2016 8:49
04/08/2016 08:57 - STEFANIAESTEVO | ID_USUARIO = 11398 | DATA_LOGIN = 04/08/2016 8:57
04/08/2016 09:03 - DANILO | ID_USUARIO = 10923 | DATA_LOGIN = 04/08/2016 9:03
04/08/2016 09:15 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 04/08/2016 9:15
04/08/2016 09:21 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 04/08/2016 9:21
04/08/2016 09:24 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 04/08/2016 9:24
04/08/2016 09:24 - NORIVAL | ID_USUARIO = 10955 | DATA_LOGIN = 04/08/2016 9:24
04/08/2016 09:28 - ELISSANDRA | ID_USUARIO = 10851 | DATA_LOGIN = 04/08/2016 9:28
04/08/2016 09:36 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 04/08/2016 9:36
04/08/2016 09:41 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 04/08/2016 9:41
04/08/2016 09:46 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 04/08/2016 9:46
04/08/2016 09:47 - MICHELSANTOS | ID_USUARIO = 11324 | DATA_LOGIN = 04/08/2016 9:47
04/08/2016 09:56 - LUZMARINA | ID_USUARIO = 10900 | DATA_LOGIN = 04/08/2016 9:56
