04/05/2016 10:38 - ITDESK | ID_USUARIO = 11342 | DATA_LOGIN = 04/05/2016 10:38
04/05/2016 10:42 - NORIVAL | ID_USUARIO = 10955 | DATA_LOGIN = 04/05/2016 10:42
04/05/2016 10:54 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 04/05/2016 10:54
04/05/2016 11:00 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 04/05/2016 11:00
04/05/2016 11:10 - MARCOS | ID_USUARIO = 10921 | DATA_LOGIN = 04/05/2016 11:10
04/05/2016 11:12 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 04/05/2016 11:12
04/05/2016 11:13 - ROSE | ID_USUARIO = 10872 | DATA_LOGIN = 04/05/2016 11:13
04/05/2016 11:26 - CHRISTIANO | ID_USUARIO = 11570 | DATA_LOGIN = 04/05/2016 11:26
04/05/2016 11:26 - REGI | ID_USUARIO = 10864 | DATA_LOGIN = 04/05/2016 11:26
04/05/2016 11:33 - MICHELSANTOS | ID_USUARIO = 11324 | DATA_LOGIN = 04/05/2016 11:33
04/05/2016 11:47 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 04/05/2016 11:47
04/05/2016 12:02 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 04/05/2016 12:02
04/05/2016 12:05 - CHRISTIANO | ID_USUARIO = 11570 | DATA_LOGIN = 04/05/2016 12:05
04/05/2016 12:07 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 04/05/2016 12:07
04/05/2016 12:13 - DOUGLAS | ID_USUARIO = 11530 | DATA_LOGIN = 04/05/2016 12:13
04/05/2016 12:19 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 04/05/2016 12:19
04/05/2016 12:42 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 04/05/2016 12:42
04/05/2016 12:52 - MARCOS | ID_USUARIO = 10921 | DATA_LOGIN = 04/05/2016 12:52
04/05/2016 12:54 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 04/05/2016 12:54
04/05/2016 12:56 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 04/05/2016 12:56
04/05/2016 12:56 - MICHELSANTOS | ID_USUARIO = 11324 | DATA_LOGIN = 04/05/2016 12:56
04/05/2016 13:01 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 04/05/2016 13:01
04/05/2016 13:03 - RBARBOSA | ID_USUARIO = 10970 | DATA_LOGIN = 04/05/2016 13:03
04/05/2016 13:05 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 04/05/2016 13:05
04/05/2016 13:07 - DORACI | ID_USUARIO = 10886 | DATA_LOGIN = 04/05/2016 13:07
04/05/2016 13:17 - LUZMARINA | ID_USUARIO = 10900 | DATA_LOGIN = 04/05/2016 13:17
04/05/2016 13:28 - RODRIGO_POIT | ID_USUARIO = 11086 | DATA_LOGIN = 04/05/2016 13:28
04/05/2016 13:29 - ROBERTA | ID_USUARIO = 10935 | DATA_LOGIN = 04/05/2016 13:29
04/05/2016 13:36 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 04/05/2016 13:36
04/05/2016 13:38 - NORIVAL | ID_USUARIO = 10955 | DATA_LOGIN = 04/05/2016 13:38
04/05/2016 13:41 - CHRISTIANO | ID_USUARIO = 11570 | DATA_LOGIN = 04/05/2016 13:41
04/05/2016 13:48 - MARCOS | ID_USUARIO = 10921 | DATA_LOGIN = 04/05/2016 13:48
04/05/2016 13:50 - REGI | ID_USUARIO = 10864 | DATA_LOGIN = 04/05/2016 13:50
04/05/2016 13:56 - MARCOS | ID_USUARIO = 10921 | DATA_LOGIN = 04/05/2016 13:56
04/05/2016 14:00 - TIAGOCHIMINI | ID_USUARIO = 11296 | DATA_LOGIN = 04/05/2016 14:00
04/05/2016 14:06 - DORACI | ID_USUARIO = 10886 | DATA_LOGIN = 04/05/2016 14:06
04/05/2016 14:15 - DORACI | ID_USUARIO = 10886 | DATA_LOGIN = 04/05/2016 14:15
04/05/2016 14:16 - CHRISTIANO | ID_USUARIO = 11570 | DATA_LOGIN = 04/05/2016 14:16
04/05/2016 14:17 - DOUGLAS | ID_USUARIO = 11530 | DATA_LOGIN = 04/05/2016 14:17
04/05/2016 14:17 - DORACI | ID_USUARIO = 10886 | DATA_LOGIN = 04/05/2016 14:17
