05/06/2019 10:38 - DOUGLAS | ID_USUARIO = 11530 | DATA_LOGIN = 05/06/2019 10:38
05/06/2019 10:42 - NORIVAL | ID_USUARIO = 10955 | DATA_LOGIN = 05/06/2019 10:42
05/06/2019 11:03 - MARCIANO | ID_USUARIO = 10973 | DATA_LOGIN = 05/06/2019 11:03
05/06/2019 11:24 - LUZMARINA | ID_USUARIO = 10900 | DATA_LOGIN = 05/06/2019 11:24
05/06/2019 11:29 - JT | ID_USUARIO = 10823 | DATA_LOGIN = 05/06/2019 11:29
05/06/2019 11:35 - LUZMARINA | ID_USUARIO = 10900 | DATA_LOGIN = 05/06/2019 11:35
05/06/2019 11:49 - MARCIO | ID_USUARIO = 10850 | DATA_LOGIN = 05/06/2019 11:49
05/06/2019 11:54 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 05/06/2019 11:54
05/06/2019 12:09 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 05/06/2019 12:09
05/06/2019 12:20 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 05/06/2019 12:20
05/06/2019 12:42 - NORIVAL | ID_USUARIO = 10955 | DATA_LOGIN = 05/06/2019 12:42
05/06/2019 12:56 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 05/06/2019 12:56
05/06/2019 13:00 - ERIC | ID_USUARIO = 11080 | DATA_LOGIN = 05/06/2019 13:00
05/06/2019 13:21 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 05/06/2019 13:21
05/06/2019 13:35 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 05/06/2019 13:35
05/06/2019 13:47 - MARAMIRANDA | ID_USUARIO = 625 | DATA_LOGIN = 05/06/2019 13:47
05/06/2019 14:06 - MARCIANO | ID_USUARIO = 10973 | DATA_LOGIN = 05/06/2019 14:06
05/06/2019 14:20 - NORIVAL | ID_USUARIO = 10955 | DATA_LOGIN = 05/06/2019 14:20
05/06/2019 14:42 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 05/06/2019 14:42
05/06/2019 14:49 - JT | ID_USUARIO = 10823 | DATA_LOGIN = 05/06/2019 14:49
05/06/2019 15:05 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 05/06/2019 15:05
05/06/2019 15:11 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 05/06/2019 15:11
05/06/2019 15:11 - CINTIAFERREIRA | ID_USUARIO = 740 | DATA_LOGIN = 05/06/2019 15:11
05/06/2019 15:16 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 05/06/2019 15:16
05/06/2019 15:57 - MARAMIRANDA | ID_USUARIO = 625 | DATA_LOGIN = 05/06/2019 15:57
05/06/2019 16:03 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 05/06/2019 16:03
05/06/2019 16:10 - MARCIANO | ID_USUARIO = 10973 | DATA_LOGIN = 05/06/2019 16:10
05/06/2019 16:17 - MARVYNALVES | ID_USUARIO = 11326 | DATA_LOGIN = 05/06/2019 16:17
05/06/2019 16:26 - MARCIO | ID_USUARIO = 10850 | DATA_LOGIN = 05/06/2019 16:26
05/06/2019 16:29 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 05/06/2019 16:29
05/06/2019 16:30 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 05/06/2019 16:30
05/06/2019 16:31 - CINTIAFERREIRA | ID_USUARIO = 740 | DATA_LOGIN = 05/06/2019 16:31
05/06/2019 16:37 - AREIAS | ID_USUARIO = 10997 | DATA_LOGIN = 05/06/2019 16:37
05/06/2019 16:37 - ERIC | ID_USUARIO = 11080 | DATA_LOGIN = 05/06/2019 16:37
05/06/2019 16:43 - ELTON | ID_USUARIO = 10942 | DATA_LOGIN = 05/06/2019 16:43
05/06/2019 16:46 - KLEBER | ID_USUARIO = 10906 | DATA_LOGIN = 05/06/2019 16:46
05/06/2019 16:48 - CAMARA | ID_USUARIO = 10841 | DATA_LOGIN = 05/06/2019 16:48
05/06/2019 16:54 - FABRICIOTOMASETTO | ID_USUARIO = 6954 | DATA_LOGIN = 05/06/2019 16:54
05/06/2019 16:55 - FERNANDOPIRES | ID_USUARIO = 11220 | DATA_LOGIN = 05/06/2019 16:55
05/06/2019 16:55 - LUIDE | ID_USUARIO = 10836 | DATA_LOGIN = 05/06/2019 16:55
