05/01/2017 16:13 - DOUGLAS | USUARIO = 11530 | CI = 18868 | STATUS = 3 | DATA = 05/01/2017 16:13 | MOTIVO_CANCELAMENTO = 
05/01/2017 16:13 - DOUGLAS | USUARIO = 11530 | CI = 18869 | STATUS = 3 | DATA = 05/01/2017 16:13 | MOTIVO_CANCELAMENTO = 
05/01/2017 16:13 - DOUGLAS | USUARIO = 11530 | CI = 18870 | STATUS = 3 | DATA = 05/01/2017 16:13 | MOTIVO_CANCELAMENTO = 
05/01/2017 16:13 - DOUGLAS | USUARIO = 11530 | CI = 18871 | STATUS = 3 | DATA = 05/01/2017 16:13 | MOTIVO_CANCELAMENTO = 
06/01/2017 08:10 - ALEXANDRE | USUARIO = 10837 | CI = 18874 | STATUS = 3 | DATA = 06/01/2017 8:10 | MOTIVO_CANCELAMENTO = 
06/01/2017 09:32 - FRANCISCO | USUARIO = 10966 | CI = 18876 | STATUS = 5 | DATA = 06/01/2017 9:32 | MOTIVO_CANCELAMENTO = VALORES DPVAT - INCORRETO
06/01/2017 10:17 - DORACI | USUARIO = 10886 | CI = 18880 | STATUS = 7 | DATA = 06/01/2017 10:17 | MOTIVO_CANCELAMENTO = 
06/01/2017 10:17 - DORACI | USUARIO = 10886 | CI = 18880 | STATUS = 3 | DATA = 06/01/2017 10:17 | MOTIVO_CANCELAMENTO = 
06/01/2017 10:25 - DORACI | USUARIO = 10886 | CI = 18883 | STATUS = 7 | DATA = 06/01/2017 10:25 | MOTIVO_CANCELAMENTO = 
06/01/2017 10:25 - DORACI | USUARIO = 10886 | CI = 18883 | STATUS = 3 | DATA = 06/01/2017 10:25 | MOTIVO_CANCELAMENTO = 
06/01/2017 11:10 - ROBSONMANFRIM | USUARIO = 11234 | CI = 18882 | STATUS = 7 | DATA = 06/01/2017 11:10 | MOTIVO_CANCELAMENTO = 
06/01/2017 11:10 - ROBSONMANFRIM | USUARIO = 11234 | CI = 18882 | STATUS = 3 | DATA = 06/01/2017 11:10 | MOTIVO_CANCELAMENTO = 
06/01/2017 11:11 - ROBSONMANFRIM | USUARIO = 11234 | CI = 18864 | STATUS = 7 | DATA = 06/01/2017 11:11 | MOTIVO_CANCELAMENTO = 
06/01/2017 11:11 - ROBSONMANFRIM | USUARIO = 11234 | CI = 18864 | STATUS = 3 | DATA = 06/01/2017 11:11 | MOTIVO_CANCELAMENTO = 
06/01/2017 11:11 - ROBSONMANFRIM | USUARIO = 11234 | CI = 18879 | STATUS = 7 | DATA = 06/01/2017 11:11 | MOTIVO_CANCELAMENTO = 
06/01/2017 11:11 - ROBSONMANFRIM | USUARIO = 11234 | CI = 18879 | STATUS = 3 | DATA = 06/01/2017 11:11 | MOTIVO_CANCELAMENTO = 
