08/06/2017 07:18 - AREIAS | USUARIO = 10997 | CI = 20863 | STATUS = 3 | DATA = 08/06/2017 7:18 | MOTIVO_CANCELAMENTO = 
08/06/2017 07:44 - JT | USUARIO = 10823 | CI = 20871 | STATUS = 3 | DATA = 08/06/2017 7:44 | MOTIVO_CANCELAMENTO = 
08/06/2017 07:48 - ZEZE | USUARIO = 10931 | CI = 20870 | STATUS = 7 | DATA = 08/06/2017 7:48 | MOTIVO_CANCELAMENTO = 
08/06/2017 07:48 - ZEZE | USUARIO = 10931 | CI = 20870 | STATUS = 3 | DATA = 08/06/2017 7:48 | MOTIVO_CANCELAMENTO = 
08/06/2017 08:23 - MARCIO | USUARIO = 10850 | CI = 20872 | STATUS = 7 | DATA = 08/06/2017 8:23 | MOTIVO_CANCELAMENTO = 
08/06/2017 11:13 - MARCIO | USUARIO = 10850 | CI = 20876 | STATUS = 7 | DATA = 08/06/2017 11:13 | MOTIVO_CANCELAMENTO = 
08/06/2017 11:25 - CAMARA | USUARIO = 10841 | CI = 20875 | STATUS = 3 | DATA = 08/06/2017 11:25 | MOTIVO_CANCELAMENTO = 
08/06/2017 11:25 - CAMARA | USUARIO = 10841 | CI = 20876 | STATUS = 3 | DATA = 08/06/2017 11:25 | MOTIVO_CANCELAMENTO = 
08/06/2017 11:26 - CAMARA | USUARIO = 10841 | CI = 20872 | STATUS = 3 | DATA = 08/06/2017 11:26 | MOTIVO_CANCELAMENTO = 
08/06/2017 11:26 - CAMARA | USUARIO = 10841 | CI = 20800 | STATUS = 3 | DATA = 08/06/2017 11:26 | MOTIVO_CANCELAMENTO = 
08/06/2017 11:26 - CAMARA | USUARIO = 10841 | CI = 20799 | STATUS = 3 | DATA = 08/06/2017 11:26 | MOTIVO_CANCELAMENTO = 
08/06/2017 11:34 - HEBERTLUCIO | USUARIO = 11635 | CI = 20880 | STATUS = 7 | DATA = 08/06/2017 11:34 | MOTIVO_CANCELAMENTO = 
08/06/2017 11:34 - HEBERTLUCIO | USUARIO = 11635 | CI = 20880 | STATUS = 3 | DATA = 08/06/2017 11:34 | MOTIVO_CANCELAMENTO = 
08/06/2017 11:34 - HEBERTLUCIO | USUARIO = 11635 | CI = 20874 | STATUS = 3 | DATA = 08/06/2017 11:34 | MOTIVO_CANCELAMENTO = 
08/06/2017 11:35 - HEBERTLUCIO | USUARIO = 11635 | CI = 20853 | STATUS = 3 | DATA = 08/06/2017 11:35 | MOTIVO_CANCELAMENTO = 
