08/01/2016 11:07 - MARTA | USUARIO = 10847 | CI = 14461 | STATUS = 3 | DATA = 08/01/2016 11:07 | MOTIVO_CANCELAMENTO = aprovado.
08/01/2016 11:20 - ZEZE | USUARIO = 10931 | CI = 14456 | STATUS = 3 | DATA = 08/01/2016 11:20 | MOTIVO_CANCELAMENTO = 
08/01/2016 11:21 - ZEZE | USUARIO = 10931 | CI = 14463 | STATUS = 7 | DATA = 08/01/2016 11:21 | MOTIVO_CANCELAMENTO = 
08/01/2016 11:21 - ZEZE | USUARIO = 10931 | CI = 14464 | STATUS = 7 | DATA = 08/01/2016 11:21 | MOTIVO_CANCELAMENTO = 
08/01/2016 11:21 - ZEZE | USUARIO = 10931 | CI = 14464 | STATUS = 3 | DATA = 08/01/2016 11:21 | MOTIVO_CANCELAMENTO = 
08/01/2016 12:44 - ROBSONMANFRIM | USUARIO = 11234 | CI = 14454 | STATUS = 7 | DATA = 08/01/2016 12:44 | MOTIVO_CANCELAMENTO = “Imposto será compensado via PER / DCOMP, entrar em contato com o Dep. Tributário”
08/01/2016 12:44 - ROBSONMANFRIM | USUARIO = 11234 | CI = 14454 | STATUS = 3 | DATA = 08/01/2016 12:44 | MOTIVO_CANCELAMENTO = “Imposto será compensado via PER / DCOMP, entrar em contato com o Dep. Tributário”
08/01/2016 12:44 - ROBSONMANFRIM | USUARIO = 11234 | CI = 14448 | STATUS = 7 | DATA = 08/01/2016 12:44 | MOTIVO_CANCELAMENTO = “Imposto será compensado via PER / DCOMP, entrar em contato com o Dep. Tributário”
08/01/2016 12:44 - ROBSONMANFRIM | USUARIO = 11234 | CI = 14448 | STATUS = 3 | DATA = 08/01/2016 12:44 | MOTIVO_CANCELAMENTO = “Imposto será compensado via PER / DCOMP, entrar em contato com o Dep. Tributário”
08/01/2016 12:46 - ROBSONMANFRIM | USUARIO = 11234 | CI = 14452 | STATUS = 7 | DATA = 08/01/2016 12:46 | MOTIVO_CANCELAMENTO = “Imposto será compensado via PER / DCOMP, entrar em contato com o Dep. Tributário”
