02/02/2018 08:49 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 02/02/2018 8:49
02/02/2018 08:50 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 02/02/2018 8:50
02/02/2018 08:55 - OTAVIOGIRO | ID_USUARIO = 526 | DATA_LOGIN = 02/02/2018 8:55
02/02/2018 09:03 - ROGERINHO | ID_USUARIO = 238 | DATA_LOGIN = 02/02/2018 9:03
02/02/2018 09:06 - ROBERTA | ID_USUARIO = 10935 | DATA_LOGIN = 02/02/2018 9:06
02/02/2018 09:09 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 02/02/2018 9:09
02/02/2018 09:15 - OTAVIOGIRO | ID_USUARIO = 526 | DATA_LOGIN = 02/02/2018 9:15
02/02/2018 09:16 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 02/02/2018 9:16
02/02/2018 09:20 - MARCELOGODOI | ID_USUARIO = 11316 | DATA_LOGIN = 02/02/2018 9:20
02/02/2018 09:21 - OTAVIOGIRO | ID_USUARIO = 526 | DATA_LOGIN = 02/02/2018 9:21
02/02/2018 09:22 - OTAVIOGIRO | ID_USUARIO = 526 | DATA_LOGIN = 02/02/2018 9:22
02/02/2018 09:23 - ROGERINHO | ID_USUARIO = 238 | DATA_LOGIN = 02/02/2018 9:23
02/02/2018 09:29 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 02/02/2018 9:29
02/02/2018 09:31 - ROSE | ID_USUARIO = 10872 | DATA_LOGIN = 02/02/2018 9:31
02/02/2018 09:37 - MICHELAAUGUSTO | ID_USUARIO = 6893 | DATA_LOGIN = 02/02/2018 9:37
02/02/2018 09:40 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 02/02/2018 9:40
02/02/2018 09:40 - ALEXZG | ID_USUARIO = 10928 | DATA_LOGIN = 02/02/2018 9:40
02/02/2018 09:49 - TOM | ID_USUARIO = 10831 | DATA_LOGIN = 02/02/2018 9:49
02/02/2018 09:54 - JOAOROGANTE | ID_USUARIO = 6966 | DATA_LOGIN = 02/02/2018 9:54
02/02/2018 10:01 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 02/02/2018 10:01
