02/03/2017 17:54 - STEFANIAESTEVO | ID_USUARIO = 11398 | DATA_LOGIN = 02/03/2017 17:54
02/03/2017 19:16 - DOUGLAS | ID_USUARIO = 11530 | DATA_LOGIN = 02/03/2017 19:16
02/03/2017 20:44 - AREIAS | ID_USUARIO = 10997 | DATA_LOGIN = 02/03/2017 20:44
02/03/2017 22:29 - JT | ID_USUARIO = 10823 | DATA_LOGIN = 02/03/2017 22:29
03/03/2017 00:32 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/03/2017 0:32
03/03/2017 07:10 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 03/03/2017 7:10
03/03/2017 07:11 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 03/03/2017 7:11
03/03/2017 07:12 - ALEXANDRE | ID_USUARIO = 10837 | DATA_LOGIN = 03/03/2017 7:12
03/03/2017 07:16 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 03/03/2017 7:16
03/03/2017 07:19 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 03/03/2017 7:19
03/03/2017 07:20 - RODRIGO_POIT | ID_USUARIO = 11086 | DATA_LOGIN = 03/03/2017 7:20
03/03/2017 07:20 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 03/03/2017 7:20
03/03/2017 07:20 - OSNY | ID_USUARIO = 10826 | DATA_LOGIN = 03/03/2017 7:20
03/03/2017 07:23 - ROBSONMANFRIM | ID_USUARIO = 11234 | DATA_LOGIN = 03/03/2017 7:23
03/03/2017 07:28 - STEFANIAESTEVO | ID_USUARIO = 11398 | DATA_LOGIN = 03/03/2017 7:28
03/03/2017 07:30 - CHRISTIANO | ID_USUARIO = 11570 | DATA_LOGIN = 03/03/2017 7:30
03/03/2017 07:45 - AZEVEDO | ID_USUARIO = 10858 | DATA_LOGIN = 03/03/2017 7:45
03/03/2017 07:50 - AMADEUBOVI | ID_USUARIO = 6888 | DATA_LOGIN = 03/03/2017 7:50
03/03/2017 08:00 - ROBSONMANFRIM | ID_USUARIO = 11234 | DATA_LOGIN = 03/03/2017 8:00
03/03/2017 08:03 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 03/03/2017 8:03
