06/03/2018 08:30 - ZEZE | USUARIO = 10931 | CI = 23993 | STATUS = 3 | DATA = 06/03/2018 8:30 | MOTIVO_CANCELAMENTO = 
06/03/2018 08:30 - ZEZE | USUARIO = 10931 | CI = 24005 | STATUS = 3 | DATA = 06/03/2018 8:30 | MOTIVO_CANCELAMENTO = 
06/03/2018 09:36 - MARCELOGODOI | USUARIO = 11316 | CI = 24010 | STATUS = 7 | DATA = 06/03/2018 9:36 | MOTIVO_CANCELAMENTO = 
06/03/2018 10:50 - ZEZE | USUARIO = 10931 | CI = 24014 | STATUS = 3 | DATA = 06/03/2018 10:50 | MOTIVO_CANCELAMENTO = 
06/03/2018 10:50 - ZEZE | USUARIO = 10931 | CI = 24015 | STATUS = 3 | DATA = 06/03/2018 10:50 | MOTIVO_CANCELAMENTO = 
06/03/2018 10:50 - ZEZE | USUARIO = 10931 | CI = 24016 | STATUS = 3 | DATA = 06/03/2018 10:50 | MOTIVO_CANCELAMENTO = 
06/03/2018 11:06 - HEBERTLUCIO | USUARIO = 11635 | CI = 23980 | STATUS = 3 | DATA = 06/03/2018 11:06 | MOTIVO_CANCELAMENTO = 
06/03/2018 11:07 - HEBERTLUCIO | USUARIO = 11635 | CI = 23998 | STATUS = 3 | DATA = 06/03/2018 11:07 | MOTIVO_CANCELAMENTO = 
06/03/2018 11:07 - HEBERTLUCIO | USUARIO = 11635 | CI = 24011 | STATUS = 3 | DATA = 06/03/2018 11:07 | MOTIVO_CANCELAMENTO = 
06/03/2018 11:07 - HEBERTLUCIO | USUARIO = 11635 | CI = 24012 | STATUS = 7 | DATA = 06/03/2018 11:07 | MOTIVO_CANCELAMENTO = 
06/03/2018 11:07 - HEBERTLUCIO | USUARIO = 11635 | CI = 24012 | STATUS = 3 | DATA = 06/03/2018 11:07 | MOTIVO_CANCELAMENTO = 
06/03/2018 13:17 - MARCIO | USUARIO = 10850 | CI = 24013 | STATUS = 3 | DATA = 06/03/2018 13:17 | MOTIVO_CANCELAMENTO = 
06/03/2018 13:31 - ROBERTA | USUARIO = 10935 | CI = 24019 | STATUS = 7 | DATA = 06/03/2018 13:31 | MOTIVO_CANCELAMENTO = 
06/03/2018 13:31 - ROBERTA | USUARIO = 10935 | CI = 24019 | STATUS = 3 | DATA = 06/03/2018 13:31 | MOTIVO_CANCELAMENTO = 
06/03/2018 13:54 - MARTA | USUARIO = 10847 | CI = 24022 | STATUS = 3 | DATA = 06/03/2018 13:54 | MOTIVO_CANCELAMENTO = 
06/03/2018 14:05 - MARTA | USUARIO = 10847 | CI = 24023 | STATUS = 3 | DATA = 06/03/2018 14:05 | MOTIVO_CANCELAMENTO = 
06/03/2018 14:13 - JT | USUARIO = 10823 | CI = 24017 | STATUS = 7 | DATA = 06/03/2018 14:13 | MOTIVO_CANCELAMENTO = 
06/03/2018 14:14 - JT | USUARIO = 10823 | CI = 23989 | STATUS = 7 | DATA = 06/03/2018 14:14 | MOTIVO_CANCELAMENTO = 
06/03/2018 14:14 - JT | USUARIO = 10823 | CI = 23989 | STATUS = 3 | DATA = 06/03/2018 14:14 | MOTIVO_CANCELAMENTO = 
06/03/2018 14:34 - CAMARA | USUARIO = 10841 | CI = 24024 | STATUS = 3 | DATA = 06/03/2018 14:34 | MOTIVO_CANCELAMENTO = 
06/03/2018 15:36 - ZEZE | USUARIO = 10931 | CI = 24021 | STATUS = 3 | DATA = 06/03/2018 15:36 | MOTIVO_CANCELAMENTO = 
06/03/2018 15:54 - HEBERTLUCIO | USUARIO = 11635 | CI = 24018 | STATUS = 3 | DATA = 06/03/2018 15:54 | MOTIVO_CANCELAMENTO = 
06/03/2018 15:54 - HEBERTLUCIO | USUARIO = 11635 | CI = 24017 | STATUS = 3 | DATA = 06/03/2018 15:54 | MOTIVO_CANCELAMENTO = 
06/03/2018 17:56 - DOUGLAS | USUARIO = 11530 | CI = 23975 | STATUS = 3 | DATA = 06/03/2018 17:56 | MOTIVO_CANCELAMENTO = mediante aprovação da diretoria responsável pelo ex-funcionário
06/03/2018 17:56 - DOUGLAS | USUARIO = 11530 | CI = 23985 | STATUS = 3 | DATA = 06/03/2018 17:56 | MOTIVO_CANCELAMENTO = 
06/03/2018 17:56 - DOUGLAS | USUARIO = 11530 | CI = 23992 | STATUS = 3 | DATA = 06/03/2018 17:56 | MOTIVO_CANCELAMENTO = 
06/03/2018 17:57 - DOUGLAS | USUARIO = 11530 | CI = 24010 | STATUS = 3 | DATA = 06/03/2018 17:57 | MOTIVO_CANCELAMENTO = 
07/03/2018 07:49 - LUIDE | USUARIO = 10836 | CI = 24020 | STATUS = 3 | DATA = 07/03/2018 7:49 | MOTIVO_CANCELAMENTO = 
07/03/2018 08:05 - ACIR | USUARIO = 10839 | CI = 23992 | STATUS = 3 | DATA = 07/03/2018 8:05 | MOTIVO_CANCELAMENTO = 
07/03/2018 08:06 - ACIR | USUARIO = 10839 | CI = 23975 | STATUS = 3 | DATA = 07/03/2018 8:06 | MOTIVO_CANCELAMENTO = 
07/03/2018 08:53 - GUSTAVOGIRO | USUARIO = 6963 | CI = 24032 | STATUS = 3 | DATA = 07/03/2018 8:53 | MOTIVO_CANCELAMENTO = 
07/03/2018 09:18 - AREIAS | USUARIO = 10997 | CI = 24025 | STATUS = 7 | DATA = 07/03/2018 9:18 | MOTIVO_CANCELAMENTO = 
07/03/2018 09:18 - AREIAS | USUARIO = 10997 | CI = 24026 | STATUS = 7 | DATA = 07/03/2018 9:18 | MOTIVO_CANCELAMENTO = 
07/03/2018 09:18 - AREIAS | USUARIO = 10997 | CI = 24027 | STATUS = 7 | DATA = 07/03/2018 9:18 | MOTIVO_CANCELAMENTO = 
07/03/2018 09:18 - AREIAS | USUARIO = 10997 | CI = 24029 | STATUS = 7 | DATA = 07/03/2018 9:18 | MOTIVO_CANCELAMENTO = 
07/03/2018 09:18 - AREIAS | USUARIO = 10997 | CI = 24035 | STATUS = 7 | DATA = 07/03/2018 9:18 | MOTIVO_CANCELAMENTO = 
07/03/2018 09:18 - AREIAS | USUARIO = 10997 | CI = 24036 | STATUS = 7 | DATA = 07/03/2018 9:18 | MOTIVO_CANCELAMENTO = 
07/03/2018 09:25 - AREIAS | USUARIO = 10997 | CI = 24037 | STATUS = 7 | DATA = 07/03/2018 9:25 | MOTIVO_CANCELAMENTO = 
07/03/2018 09:25 - AREIAS | USUARIO = 10997 | CI = 24037 | STATUS = 3 | DATA = 07/03/2018 9:25 | MOTIVO_CANCELAMENTO = 
07/03/2018 09:44 - TADEUMACHADO | USUARIO = 11594 | CI = 24030 | STATUS = 3 | DATA = 07/03/2018 9:44 | MOTIVO_CANCELAMENTO = 
07/03/2018 10:12 - ZEZE | USUARIO = 10931 | CI = 24028 | STATUS = 3 | DATA = 07/03/2018 10:12 | MOTIVO_CANCELAMENTO = 
07/03/2018 10:12 - ZEZE | USUARIO = 10931 | CI = 24029 | STATUS = 3 | DATA = 07/03/2018 10:12 | MOTIVO_CANCELAMENTO = 
07/03/2018 10:12 - ZEZE | USUARIO = 10931 | CI = 24038 | STATUS = 3 | DATA = 07/03/2018 10:12 | MOTIVO_CANCELAMENTO = 
07/03/2018 11:06 - JT | USUARIO = 10823 | CI = 24035 | STATUS = 3 | DATA = 07/03/2018 11:06 | MOTIVO_CANCELAMENTO = 
07/03/2018 11:26 - THIAGO | USUARIO = 10892 | CI = 24027 | STATUS = 3 | DATA = 07/03/2018 11:26 | MOTIVO_CANCELAMENTO = 
07/03/2018 11:51 - DOUGLAS | USUARIO = 11530 | CI = 24025 | STATUS = 3 | DATA = 07/03/2018 11:51 | MOTIVO_CANCELAMENTO = 
07/03/2018 11:51 - DOUGLAS | USUARIO = 11530 | CI = 24026 | STATUS = 3 | DATA = 07/03/2018 11:51 | MOTIVO_CANCELAMENTO = 
07/03/2018 14:08 - MARTA | USUARIO = 10847 | CI = 24043 | STATUS = 3 | DATA = 07/03/2018 14:08 | MOTIVO_CANCELAMENTO = 
07/03/2018 14:08 - MARTA | USUARIO = 10847 | CI = 24044 | STATUS = 3 | DATA = 07/03/2018 14:08 | MOTIVO_CANCELAMENTO = 
07/03/2018 15:28 - ZEZE | USUARIO = 10931 | CI = 24042 | STATUS = 7 | DATA = 07/03/2018 15:28 | MOTIVO_CANCELAMENTO = 
