07/11/2018 13:50 - DOUGLAS | ID_USUARIO = 11530 | DATA_LOGIN = 07/11/2018 13:50
07/11/2018 14:09 - ROBERTO | ID_USUARIO = 10845 | DATA_LOGIN = 07/11/2018 14:09
07/11/2018 14:09 - LUIDE | ID_USUARIO = 10836 | DATA_LOGIN = 07/11/2018 14:09
07/11/2018 14:11 - THIAGO | ID_USUARIO = 10892 | DATA_LOGIN = 07/11/2018 14:11
07/11/2018 14:13 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 07/11/2018 14:13
07/11/2018 14:14 - FERNANDO | ID_USUARIO = 10842 | DATA_LOGIN = 07/11/2018 14:14
07/11/2018 14:15 - ROSE | ID_USUARIO = 10872 | DATA_LOGIN = 07/11/2018 14:15
07/11/2018 14:16 - ROBERTO | ID_USUARIO = 10845 | DATA_LOGIN = 07/11/2018 14:16
07/11/2018 14:23 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 07/11/2018 14:23
07/11/2018 14:41 - CAIOAUGUSTO | ID_USUARIO = 11320 | DATA_LOGIN = 07/11/2018 14:41
07/11/2018 14:44 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 07/11/2018 14:44
07/11/2018 14:49 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 07/11/2018 14:49
07/11/2018 14:49 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 07/11/2018 14:49
07/11/2018 14:51 - MARCIANO | ID_USUARIO = 10973 | DATA_LOGIN = 07/11/2018 14:51
07/11/2018 14:56 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 07/11/2018 14:56
07/11/2018 15:05 - ROSE | ID_USUARIO = 10872 | DATA_LOGIN = 07/11/2018 15:05
07/11/2018 15:06 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 07/11/2018 15:06
07/11/2018 15:08 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 07/11/2018 15:08
07/11/2018 15:09 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 07/11/2018 15:09
07/11/2018 15:09 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 07/11/2018 15:09
07/11/2018 15:52 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 07/11/2018 15:52
07/11/2018 15:53 - MARCIO | ID_USUARIO = 10850 | DATA_LOGIN = 07/11/2018 15:53
07/11/2018 15:53 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 07/11/2018 15:53
07/11/2018 16:01 - DOUGLAS | ID_USUARIO = 11530 | DATA_LOGIN = 07/11/2018 16:01
07/11/2018 16:04 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 07/11/2018 16:04
07/11/2018 16:14 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 07/11/2018 16:14
07/11/2018 16:17 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 07/11/2018 16:17
07/11/2018 16:17 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 07/11/2018 16:17
07/11/2018 16:35 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 07/11/2018 16:35
07/11/2018 16:35 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 07/11/2018 16:35
07/11/2018 16:36 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 07/11/2018 16:36
07/11/2018 16:43 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 07/11/2018 16:43
07/11/2018 16:49 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 07/11/2018 16:49
