23/08/2018 15:20 - SANDRA | ID =  | CI = 25138 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 41.70
23/08/2018 15:20 - SANDRA | ID =  | CI = 25138 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 131.92
23/08/2018 15:20 - SANDRA | ID =  | CI = 25138 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 40.00
24/08/2018 11:58 - LUISMORETTI | ID =  | CI = 25141 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 46.09
24/08/2018 13:34 - CAIOAUGUSTO | ID =  | CI = 25142 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 50.00
24/08/2018 13:34 - CAIOAUGUSTO | ID =  | CI = 25142 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 92.60
24/08/2018 13:34 - CAIOAUGUSTO | ID =  | CI = 25142 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 57.97
24/08/2018 15:41 - CAMACETI | ID =  | CI = 25143 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 50.00
24/08/2018 15:41 - CAMACETI | ID =  | CI = 25143 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 167.22
24/08/2018 15:41 - CAMACETI | ID =  | CI = 25143 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 25.00
24/08/2018 15:41 - CAMACETI | ID =  | CI = 25143 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 300.00
25/08/2018 10:16 - NORIVAL | ID =  | CI = 25147 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 41.80
27/08/2018 08:15 - OTAVIOGIRO | ID =  | CI = 25150 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 20.00
27/08/2018 08:24 - OTAVIOGIRO | ID =  | CI = 25151 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 80.00
27/08/2018 08:24 - OTAVIOGIRO | ID =  | CI = 25151 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 71.99
27/08/2018 16:14 - NORIVAL | ID =  | CI = 25153 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 30.00
28/08/2018 16:42 - MARTA | ID =  | CI = 25163 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 73.80
28/08/2018 16:42 - MARTA | ID =  | CI = 25163 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
28/08/2018 16:42 - MARTA | ID =  | CI = 25163 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 0.00
29/08/2018 09:04 - NORIVAL | ID =  | CI = 25165 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 15.40
29/08/2018 09:04 - NORIVAL | ID =  | CI = 25165 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 25.00
29/08/2018 09:04 - NORIVAL | ID =  | CI = 25165 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 28.05
29/08/2018 09:06 - NORIVAL | ID = 23988 | CI = 25165 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 15.40
29/08/2018 09:06 - NORIVAL | ID = 23989 | CI = 25165 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 25.00
29/08/2018 09:06 - NORIVAL | ID = 23990 | CI = 25165 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 28.05
29/08/2018 09:10 - NORIVAL | ID =  | CI = 25166 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 52.10
29/08/2018 10:58 - SANDRA | ID =  | CI = 25168 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 70.00
29/08/2018 10:58 - SANDRA | ID =  | CI = 25168 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 43.00
29/08/2018 10:58 - SANDRA | ID =  | CI = 25168 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 132.70
29/08/2018 10:58 - SANDRA | ID =  | CI = 25168 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 40.00
30/08/2018 14:37 - STEFANIAESTEVO | ID =  | CI = 25181 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 48.00
31/08/2018 09:26 - LUZMARINA | ID =  | CI = 25183 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 69.99
31/08/2018 09:26 - LUZMARINA | ID =  | CI = 25183 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 91.90
31/08/2018 13:55 - OTAVIOGIRO | ID =  | CI = 25191 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 20.00
31/08/2018 13:55 - OTAVIOGIRO | ID =  | CI = 25191 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 35.80
31/08/2018 14:00 - OTAVIOGIRO | ID =  | CI = 25192 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 74.00
31/08/2018 14:00 - OTAVIOGIRO | ID =  | CI = 25192 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 25.91
