06/03/2019 15:29 - ELISSANDRA | ID_USUARIO = 10851 | DATA_LOGIN = 06/03/2019 15:29
06/03/2019 15:46 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 06/03/2019 15:46
06/03/2019 16:05 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 06/03/2019 16:05
06/03/2019 16:08 - CAMARA | ID_USUARIO = 10841 | DATA_LOGIN = 06/03/2019 16:08
06/03/2019 16:14 - ADRIANA | ID_USUARIO = 10859 | DATA_LOGIN = 06/03/2019 16:14
06/03/2019 16:25 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 06/03/2019 16:25
06/03/2019 16:46 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 06/03/2019 16:46
06/03/2019 16:46 - MATHEUSRODRIGUES | ID_USUARIO = 11533 | DATA_LOGIN = 06/03/2019 16:46
06/03/2019 16:47 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 06/03/2019 16:47
06/03/2019 16:50 - MARCIANO | ID_USUARIO = 10973 | DATA_LOGIN = 06/03/2019 16:50
06/03/2019 16:51 - ADRIANA | ID_USUARIO = 10859 | DATA_LOGIN = 06/03/2019 16:51
06/03/2019 16:56 - VINICIUSSANTOS | ID_USUARIO = 7044 | DATA_LOGIN = 06/03/2019 16:56
06/03/2019 16:58 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 06/03/2019 16:58
06/03/2019 17:00 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 06/03/2019 17:00
06/03/2019 20:03 - DOUGLAS | ID_USUARIO = 11530 | DATA_LOGIN = 06/03/2019 20:03
07/03/2019 07:01 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 07/03/2019 7:01
07/03/2019 07:03 - VINICIUSSANTOS | ID_USUARIO = 7044 | DATA_LOGIN = 07/03/2019 7:03
07/03/2019 07:04 - ROSE | ID_USUARIO = 10872 | DATA_LOGIN = 07/03/2019 7:04
07/03/2019 07:08 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 07/03/2019 7:08
07/03/2019 07:09 - ALEXZG | ID_USUARIO = 10928 | DATA_LOGIN = 07/03/2019 7:09
07/03/2019 07:14 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 07/03/2019 7:14
07/03/2019 07:18 - VALDEREZ | ID_USUARIO = 10871 | DATA_LOGIN = 07/03/2019 7:18
07/03/2019 07:19 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 07/03/2019 7:19
07/03/2019 07:19 - MARCIANO | ID_USUARIO = 10973 | DATA_LOGIN = 07/03/2019 7:19
