06/05/2019 14:45 - ADRIANA | ID_USUARIO = 10859 | DATA_LOGIN = 06/05/2019 14:45
06/05/2019 14:50 - JT | ID_USUARIO = 10823 | DATA_LOGIN = 06/05/2019 14:50
06/05/2019 15:21 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 06/05/2019 15:21
06/05/2019 15:24 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 06/05/2019 15:24
06/05/2019 15:34 - OTAVIOGIRO | ID_USUARIO = 526 | DATA_LOGIN = 06/05/2019 15:34
06/05/2019 15:43 - ERIC | ID_USUARIO = 11080 | DATA_LOGIN = 06/05/2019 15:43
06/05/2019 16:20 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 06/05/2019 16:20
06/05/2019 16:37 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 06/05/2019 16:37
06/05/2019 16:37 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 06/05/2019 16:37
06/05/2019 16:37 - CAMARA | ID_USUARIO = 10841 | DATA_LOGIN = 06/05/2019 16:37
06/05/2019 16:40 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 06/05/2019 16:40
07/05/2019 06:25 - LUZMARINA | ID_USUARIO = 10900 | DATA_LOGIN = 07/05/2019 6:25
07/05/2019 07:00 - MARCIANO | ID_USUARIO = 10973 | DATA_LOGIN = 07/05/2019 7:00
07/05/2019 07:12 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 07/05/2019 7:12
07/05/2019 07:13 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 07/05/2019 7:13
07/05/2019 07:14 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 07/05/2019 7:14
07/05/2019 07:19 - MICHELAAUGUSTO | ID_USUARIO = 6893 | DATA_LOGIN = 07/05/2019 7:19
07/05/2019 07:30 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 07/05/2019 7:30
07/05/2019 07:33 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 07/05/2019 7:33
07/05/2019 07:49 - AREIAS | ID_USUARIO = 10997 | DATA_LOGIN = 07/05/2019 7:49
07/05/2019 07:51 - TADEUMACHADO | ID_USUARIO = 11594 | DATA_LOGIN = 07/05/2019 7:51
07/05/2019 08:16 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 07/05/2019 8:16
07/05/2019 08:45 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 07/05/2019 8:45
07/05/2019 08:56 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 07/05/2019 8:56
07/05/2019 09:08 - DOUGLAS | ID_USUARIO = 11530 | DATA_LOGIN = 07/05/2019 9:08
07/05/2019 09:46 - MARCIO | ID_USUARIO = 10850 | DATA_LOGIN = 07/05/2019 9:46
07/05/2019 09:50 - ELTON | ID_USUARIO = 10942 | DATA_LOGIN = 07/05/2019 9:50
07/05/2019 09:52 - MARCIO | ID_USUARIO = 10850 | DATA_LOGIN = 07/05/2019 9:52
07/05/2019 09:56 - MAYRACATANI | ID_USUARIO = 7036 | DATA_LOGIN = 07/05/2019 9:56
07/05/2019 09:57 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 07/05/2019 9:57
07/05/2019 10:02 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 07/05/2019 10:02
07/05/2019 10:06 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 07/05/2019 10:06
07/05/2019 10:07 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 07/05/2019 10:07
07/05/2019 10:10 - HEBERTLUCIO | ID_USUARIO = 11635 | DATA_LOGIN = 07/05/2019 10:10
07/05/2019 10:11 - ELTON | ID_USUARIO = 10942 | DATA_LOGIN = 07/05/2019 10:11
07/05/2019 10:12 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 07/05/2019 10:12
07/05/2019 10:22 - MARCIO | ID_USUARIO = 10850 | DATA_LOGIN = 07/05/2019 10:22
07/05/2019 10:35 - CAMARA | ID_USUARIO = 10841 | DATA_LOGIN = 07/05/2019 10:35
07/05/2019 10:47 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 07/05/2019 10:47
07/05/2019 11:09 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 07/05/2019 11:09
07/05/2019 11:11 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 07/05/2019 11:11
07/05/2019 11:17 - ELISSANDRA | ID_USUARIO = 10851 | DATA_LOGIN = 07/05/2019 11:17
