05/04/2016 13:25 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 05/04/2016 13:25
05/04/2016 13:54 - BIRA | ID_USUARIO = 11029 | DATA_LOGIN = 05/04/2016 13:54
05/04/2016 14:08 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 05/04/2016 14:08
05/04/2016 14:15 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 05/04/2016 14:15
05/04/2016 14:17 - NORIVAL | ID_USUARIO = 10955 | DATA_LOGIN = 05/04/2016 14:17
05/04/2016 14:23 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 05/04/2016 14:23
05/04/2016 14:40 - LUCIMARA | ID_USUARIO = 10852 | DATA_LOGIN = 05/04/2016 14:40
05/04/2016 14:46 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 05/04/2016 14:46
05/04/2016 14:46 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 05/04/2016 14:46
05/04/2016 14:47 - MONICA | ID_USUARIO = 10876 | DATA_LOGIN = 05/04/2016 14:47
05/04/2016 14:48 - VALDINEI | ID_USUARIO = 11172 | DATA_LOGIN = 05/04/2016 14:48
05/04/2016 14:48 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 05/04/2016 14:48
05/04/2016 14:49 - VALDEREZ | ID_USUARIO = 10871 | DATA_LOGIN = 05/04/2016 14:49
05/04/2016 14:55 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 05/04/2016 14:55
05/04/2016 15:01 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 05/04/2016 15:01
05/04/2016 15:08 - HIGORGARCIA | ID_USUARIO = 11219 | DATA_LOGIN = 05/04/2016 15:08
05/04/2016 15:15 - VALDEREZ | ID_USUARIO = 10871 | DATA_LOGIN = 05/04/2016 15:15
05/04/2016 15:15 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 05/04/2016 15:15
05/04/2016 15:29 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 05/04/2016 15:29
05/04/2016 15:37 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 05/04/2016 15:37
05/04/2016 15:38 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 05/04/2016 15:38
05/04/2016 15:42 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 05/04/2016 15:42
05/04/2016 15:47 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 05/04/2016 15:47
